"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
1,"Pattern",2.12508523277627,4,448,0.0767439864064665,0.27061,0.25813,"ns",0.0155285567722691,0.018620667213013,5.65257335662166,0.00890101555708489,2,27,7.44775392775965,0.000716264903759756,2,259,0.201938874198937,0.00499049778717486,2,54,0.0251429750722841,0.00153295278599441,2,518
2,"Pattern",1.65668116291222,4,448,0.159033826997537,0.18883,0.2394,"ns",0.0129478210816724,0.0145761880952478,8.37172308013026,0.00148280961462177,2,27,12.5426434401928,6.3198591919722e-06,2,259,0.329105643866764,0.000282336470640354,2,54,0.0391748168725597,4.41478717723154e-05,2,518
3,"Pattern",0.995815350108625,4,448,0.409468826639871,0.11004,0.2174,"ns",0.00751186548003344,0.0088128515823632,8.70030210809296,0.00121244189313596,2,27,10.3408583733564,4.77882919962536e-05,2,259,0.204471735618812,0.00469849460984673,2,54,0.0297041128207006,0.000481307388314312,2,518
4,"Pattern",1.10449705489331,4,448,0.353822303965935,0.073707,0.18359,"ns",0.00808242557363149,0.00976527975149619,7.97401661422758,0.00189966285179599,2,27,9.35989249146215,0.000118914883298959,2,259,0.162549293785663,0.0129738867196122,2,54,0.0249867053115194,0.00159516533582882,2,518
5,"Pattern",0.889644304024275,4,448,0.469953243570883,0.035595,0.13683,"ns",0.00629345692362609,0.00788065468280124,2.60561318766949,0.0923236160595184,2,27,3.21210191051325,0.0418814472846712,2,259,0.0524241187004192,0.227856512473949,2,54,0.00832168302744913,0.114990828925591,2,518
6,"Pattern",0.754728062109454,4,448,0.555236401847065,-2.187e-17,0.089291,"ns",0.00586964860236563,0.0066935380456394,0.863888738848156,0.43284602778168,2,27,1.16681672276824,0.312987670999093,2,259,0.0200638588696568,0.562327379446094,2,54,0.00282470458391291,0.478930115412845,2,518
7,"Pattern",0.752560232317672,4,448,0.556678339089993,-0.028292,0.036037,"ns",0.00505724974862185,0.0066744403033251,0.236004890317273,0.791388943190339,2,27,0.22879915693818,0.795648896859439,2,259,0.00141997243666871,0.959687248691414,2,54,0.000142182490182233,0.963573054836508,2,518
8,"Pattern",0.872571045032064,4,448,0.480238260046666,0.15945,0.30209,"ns",0.00668407413980215,0.00773058535792491,11.5019162886133,0.000243706082564188,2,27,14.3044695055767,1.28059334580932e-06,2,259,0.288035512735944,0.000690720503033981,2,54,0.0429196357881002,1.72699730013326e-05,2,518
9,"Pattern",0.629602796329623,4,448,0.64160217435886,0.083862,0.27643,"ns",0.00482563500353188,0.00559002944783661,10.0606517883896,0.000543221955904505,2,27,11.5841967778977,1.51874932385887e-05,2,259,0.206523163448118,0.00447500487364016,2,54,0.0293043511454882,0.00053263230053413,2,518
10,"Pattern",1.14922007951114,4,448,0.332744247471651,0.050145,0.23852,"ns",0.00839640287168971,0.0101566769855203,6.73959799965053,0.00422455009237943,2,27,8.45193660250625,0.000278089572407492,2,259,0.142197826785525,0.0215449131236356,2,54,0.020952874364141,0.0044637531745384,2,518
