"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
1,"Pattern",3.06806648210459,4,304,0.016835316085513,0.27061,0.25813,"<.05",0.0319787985549285,0.0388028520059863,6.0347334175016,0.00987008737125894,2,18,10.9434547456383,3.29285618078101e-05,2,178,0.158558154492173,0.0538890060162714,2,36,0.0327788070646887,0.00301394085562956,2,356
2,"Pattern",5.61531453107249,4,304,0.000225673381447184,0.18883,0.2394,"<.0005",0.0563264557662909,0.0688022163896046,8.69530845262776,0.00227750505015634,2,18,15.12107043416,8.60543897029942e-07,2,178,0.309714649014529,0.00487609607701023,2,36,0.0701226336496379,5.05746039880517e-06,2,356
3,"Pattern",7.73311653100115,4,304,6.03210861795081e-06,0.11004,0.2174,"<.0001",0.0817851644666129,0.0923543378220977,10.9603933651918,0.000770301463074441,2,18,18.7955037400872,3.9287379793862e-08,2,178,0.432113953634411,0.000860241470841072,2,36,0.0956568293655113,7.2800555139807e-08,2,356
4,"Pattern",12.8150806089773,4,304,1.18611654810791e-09,0.073707,0.18359,"<.0001",0.0947620369929931,0.144289466621077,7.4997809682555,0.00427443752017043,2,18,24.3380046879466,4.53195481142643e-10,2,178,0.286359522204577,0.00692582321975577,2,36,0.118984669431791,1.6481601639029e-09,2,356
5,"Pattern",13.799209262132,4,304,2.3598033230755e-10,0.035595,0.13683,"<.0001",0.103133159507234,0.15366738054286,5.02973142538221,0.0183966340452082,2,18,20.3786719519844,1.07326039167077e-08,2,178,0.26928220772341,0.00899118691104672,2,36,0.114610469952261,3.33290817167153e-09,2,356
6,"Pattern",16.7305963422825,4,304,2.08664383245695e-12,-2.187e-17,0.089291,"<.0001",0.115823989614544,0.180421532937493,4.87250750133033,0.0203604733299196,2,18,18.0389867777041,7.35315177635698e-08,2,178,0.246680013320517,0.0127762911314546,2,36,0.105419899508722,1.47691195939714e-08,2,356
7,"Pattern",12.9841607064279,4,304,8.97907711830926e-10,-0.028292,0.036037,"<.0001",0.119380773327086,0.14591541464626,0.914049616487652,0.418719119747528,2,18,3.22513147801875,0.0420847160205915,2,178,0.055262049567122,0.342105241545844,2,36,0.0144009030497274,0.0762704764592619,2,356
8,"Pattern",5.35786052914177,4,304,0.000350531994991943,0.15945,0.30209,"<.0005",0.0571007352967396,0.0658554747420211,8.15992088321883,0.00300292893298271,2,18,18.9370570515052,3.49566353641251e-08,2,178,0.152432337689204,0.0598232299459669,2,36,0.0320709370018739,0.00340968477328851,2,356
9,"Pattern",9.29971305942558,4,304,4.21160583570903e-07,0.083862,0.27643,"<.0001",0.0807616388827398,0.109023966504398,8.30901058615303,0.00277800097034331,2,18,27.6796389153387,3.41309203122364e-11,2,178,0.155064540515539,0.0571929741286987,2,36,0.0659533089202165,1.02065837236376e-05,2,356
10,"Pattern",7.95593127530635,4,304,4.12562140555274e-06,0.050145,0.23852,"<.0001",0.0639443318992385,0.0947631829515111,4.78173084727262,0.0215997492095472,2,18,14.4512306269912,1.52839897449297e-06,2,178,0.155141837775229,0.0571176042127843,2,36,0.0593197101702568,3.13733339311062e-05,2,356
11,"Pattern",11.6941668404821,4,304,7.58359475944037e-09,-4.8953e-17,0.19987,"<.0001",0.087832346187472,0.13335170698131,7.33795137450511,0.0046709389655526,2,18,24.6573856330185,3.52792017821457e-10,2,178,0.34177930033169,0.00304484843254382,2,36,0.136702879598188,9.78256364803087e-11,2,356
12,"Pattern",11.6596919852749,4,304,8.03105183233037e-09,-0.035595,0.13683,"<.0001",0.0793985630541621,0.133010871031049,4.99771109122578,0.0187788656536033,2,18,21.2655758911385,5.23064258572958e-09,2,178,0.296063607693346,0.00598119820525644,2,36,0.118990646715363,1.64657809609281e-09,2,356
13,"Pattern",11.8607049538316,4,304,5.75041625326162e-09,-0.058411,0.078036,"<.0001",0.0879090231681061,0.13499442054402,3.90389667639084,0.0390566232658313,2,18,13.2415339367704,4.35387396291453e-06,2,178,0.200957752849148,0.0265762314064002,2,36,0.0642459896718525,1.36176810550115e-05,2,356
14,"Pattern",4.52628509075444,4,304,0.00144830315794917,0.044058,0.32872,"<.005",0.0469985600498446,0.0562087905291203,6.5023199088358,0.00749225122637798,2,18,19.1341941636376,2.97166128371273e-08,2,178,0.198673226569992,0.0275887119706257,2,36,0.0393940588356335,0.000955444967845054,2,356
15,"Pattern",8.73883992309244,4,304,1.08942310171747e-06,-6.9342e-17,0.28311,"<.0001",0.0628182961191616,0.103126735402841,6.03304473643519,0.00988007033140836,2,18,23.2538908458271,1.06607001004733e-09,2,178,0.191192438945345,0.031199016621852,2,36,0.0747902944388397,2.3118360117369e-06,2,356
