"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.00871363994192888,0.245264257039509,2,320,0.27061,0.25813,"ns"
2,0.0288679009383963,0.00995622186774991,2,320,0.18883,0.2394,"<.01"
3,0.0152926908856105,0.0855690461866689,2,320,0.11004,0.2174,"ns"
4,0.0272343103255285,0.0128781322495013,2,320,0.073707,0.18359,"<.05"
5,0.0204427114740065,0.0377069225106981,2,320,0.035595,0.13683,"<.05"
6,0.0378820416376653,0.00242451393545573,2,320,-2.187e-17,0.089291,"<.005"
7,0.0384213330151526,0.00222891548864501,2,320,-0.028292,0.036037,"<.005"
8,0.00436689534945771,0.493675094572536,2,320,0.15945,0.30209,"ns"
9,0.00387927782763211,0.534078716928888,2,320,0.083862,0.27643,"ns"
10,0.0262785849513848,0.0149733871673198,2,320,0.050145,0.23852,"<.05"
11,0.0195504724074852,0.0434459666771431,2,320,-4.8953e-17,0.19987,"<.05"
12,0.00959724533208181,0.212832801639359,2,320,-0.035595,0.13683,"ns"
13,0.0371966492275558,0.00269823793152923,2,320,-0.058411,0.078036,"<.005"
14,0.00927140623098315,0.224257146680429,2,320,0.044058,0.32872,"ns"
15,0.00312738564373527,0.603001233328819,2,320,-6.9342e-17,0.28311,"ns"
16,0.0135599638952613,0.112841520577897,2,320,-6.0391e-17,0.24656,"ns"
17,0.0070466628406149,0.320617556428992,2,320,-8.7824e-17,0.35857,"ns"
18,0.00851552366131872,0.253193380849877,2,320,-0.050145,0.23852,"ns"
19,0.0185470314398398,0.0509578883134822,2,320,-0.073707,0.18359,"ns"
20,0.0331500253307694,0.00508151508492871,2,320,-0.097709,0.1308,"<.01"
21,0.00725858072769687,0.309873806357444,2,320,-0.044058,0.32872,"ns"
22,0.00416619682550296,0.509918500367166,2,320,-0.083862,0.27643,"ns"
23,0.00487827059310059,0.454601283349826,2,320,-0.11004,0.2174,"ns"
24,0.0440475239678365,0.000929226849526676,2,320,-0.12335,0.16655,"<.001"
25,0.00271911757030608,0.644106116436429,2,320,-0.15945,0.30209,"ns"
26,0.00465006938518208,0.471638055628485,2,320,-0.18883,0.2394,"ns"
27,0.0204336356054003,0.0377612777890202,2,320,-0.1756,0.16852,"<.05"
28,0.0404448910450781,0.00162626266310628,2,320,-0.15612,0.11703,"<.005"
29,0.0459435575713854,0.000692687602543929,2,320,-0.12367,0.07006,"<.001"
30,0.0410153530205643,0.00148814424545884,2,320,-0.089234,0.023191,"<.005"
31,0.0342726695513612,0.00426202267979625,2,320,-0.044495,-0.015575,"<.005"
32,0.0120430707739419,0.143822043251037,2,320,-0.27061,0.25813,"ns"
33,0.0303159603685203,0.00792828031148218,2,320,-0.27006,0.17418,"<.01"
34,0.0433493518477426,0.00103552577251609,2,320,-0.22865,0.099464,"<.005"
35,0.052680535350913,0.00024495761257004,2,320,-0.1832,0.042556,"<.0005"
36,0.0410671315681862,0.00147620765221768,2,320,-0.14086,0.0073253,"<.005"
37,0.0398842899938127,0.00177456086878203,2,320,-0.091723,-0.035635,"<.005"
38,0.0134590613190832,0.114675913472226,2,320,-0.34659,0.19108,"ns"
39,0.0290039142981375,0.00974535419240374,2,320,-0.33383,0.039461,"<.01"
40,0.0360588000772605,0.00322308486704059,2,320,-0.25598,0.0011134,"<.005"
41,0.0560209724504644,0.000146666344645663,2,320,-0.19461,-0.022574,"<.0005"
42,0.0659059102694532,3.24560651565609e-05,2,320,-0.15112,-0.059346,"<.0001"
43,0.00596497958970884,0.381585512762284,2,320,-0.41311,0.15319,"ns"
44,0.0186395081593742,0.0502140648763373,2,320,-0.39898,0.074566,"ns"
45,0.0244549813267117,0.0199713885260917,2,320,-0.31837,-0.081339,"<.05"
46,0.075734264786557,7.34642078581427e-06,2,320,-0.24052,-0.075603,"<.0001"
47,0.0782414521391711,5.04006920132305e-06,2,320,-0.19145,-0.085584,"<.0001"
48,0.00447167756605236,0.485402524387311,2,320,-0.45895,0.17222,"ns"
49,0.00335566666777556,0.581178939017795,2,320,-0.46317,0.03064,"ns"
50,0.0522216867136188,0.000262872764294486,2,320,-0.27341,-0.16219,"<.0005"
51,0.0766641627276261,6.38760688831397e-06,2,320,-0.20096,-0.14301,"<.0001"
52,0.0571432283783781,0.000123495648513661,2,320,-0.15394,-0.11866,"<.0005"
53,0.0295181191286941,0.00898796469647511,2,320,-0.099452,-0.09574,"<.01"
