"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.00514823416398266,0.261789219893966,2,518,0.27061,0.25813,"ns"
2,0.00387885300154847,0.364070708970007,2,518,0.18883,0.2394,"ns"
3,0.00686114736144703,0.167864683598763,2,518,0.11004,0.2174,"ns"
4,0.00676750240650849,0.171989398917264,2,518,0.073707,0.18359,"ns"
5,0.0114232236606804,0.0515897899474436,2,518,0.035595,0.13683,"ns"
6,0.010874821610839,0.0594340012236427,2,518,-2.187e-17,0.089291,"ns"
7,0.0113742670705177,0.0522456349855602,2,518,-0.028292,0.036037,"ns"
8,0.00581568533848765,0.220146224737465,2,518,0.15945,0.30209,"ns"
9,0.00598951332235308,0.210438015676657,2,518,0.083862,0.27643,"ns"
10,0.00562115872567211,0.231544604591097,2,518,0.050145,0.23852,"ns"
11,0.0118022872666637,0.0467835935375914,2,518,-4.8953e-17,0.19987,"<.05"
12,0.0157955078853493,0.0167365436269793,2,518,-0.035595,0.13683,"<.05"
13,0.0157081321721296,0.0171165065325204,2,518,-0.058411,0.078036,"<.05"
14,0.00871097185485845,0.103971055696541,2,518,0.044058,0.32872,"ns"
15,0.013832520753219,0.0277267722885521,2,518,-6.9342e-17,0.28311,"<.05"
16,0.0147801063554375,0.021727820258731,2,518,-6.0391e-17,0.24656,"<.05"
17,0.0164224489835785,0.0142474337007459,2,518,-8.7824e-17,0.35857,"<.05"
18,0.0102507524305986,0.06982785657316,2,518,-0.050145,0.23852,"ns"
19,0.00769405890765397,0.135280575842615,2,518,-0.073707,0.18359,"ns"
20,0.00838062952672534,0.113249770159059,2,518,-0.097709,0.1308,"ns"
21,0.0185716930245976,0.00820992133938314,2,518,-0.044058,0.32872,"<.01"
22,0.015421584464344,0.018424426132671,2,518,-0.083862,0.27643,"<.05"
23,0.00802529640752381,0.124160779163058,2,518,-0.11004,0.2174,"ns"
24,0.00991674947635196,0.0761215091068906,2,518,-0.12335,0.16655,"ns"
25,0.0138983639330016,0.0272608115040374,2,518,-0.15945,0.30209,"<.05"
26,0.0158747712943809,0.0163991869600166,2,518,-0.18883,0.2394,"<.05"
27,0.00301953516873038,0.455252953848743,2,518,-0.1756,0.16852,"ns"
28,0.00101712347796649,0.766950305373235,2,518,-0.15612,0.11703,"ns"
29,0.00228959680801704,0.5505175580154,2,518,-0.12367,0.07006,"ns"
30,0.00648844557798297,0.184894137690793,2,518,-0.089234,0.023191,"ns"
31,0.00507737793358721,0.26665037852577,2,518,-0.044495,-0.015575,"ns"
32,0.0078949847506759,0.128421525306046,2,518,-0.27061,0.25813,"ns"
33,0.00281794974078149,0.479772822661159,2,518,-0.27006,0.17418,"ns"
34,0.000358003723713038,0.910808947521865,2,518,-0.22865,0.099464,"ns"
35,0.00078753820297055,0.814267819218677,2,518,-0.1832,0.042556,"ns"
36,9.17110655830072e-05,0.976348699708862,2,518,-0.14086,0.0073253,"ns"
37,1.22437271685005e-05,0.996809507396129,2,518,-0.091723,-0.035635,"ns"
38,0.0057604092840006,0.223326621971403,2,518,-0.34659,0.19108,"ns"
39,0.00132697125019762,0.707435983104254,2,518,-0.33383,0.039461,"ns"
40,0.00497035403851376,0.274165212250395,2,518,-0.25598,0.0011134,"ns"
41,0.0050666111058367,0.267396936665165,2,518,-0.19461,-0.022574,"ns"
42,0.0162479215877659,0.0149004401481428,2,518,-0.15112,-0.059346,"<.05"
43,0.00960908057579294,0.0824218125009218,2,518,-0.41311,0.15319,"ns"
44,0.00635753436997274,0.19127869982659,2,518,-0.39898,0.074566,"ns"
45,0.000790655282542204,0.813606160638547,2,518,-0.31837,-0.081339,"ns"
46,0.00863664854536629,0.105989798150333,2,518,-0.24052,-0.075603,"ns"
47,0.0137381527087643,0.0284085753103329,2,518,-0.19145,-0.085584,"<.05"
48,0.00733800855114376,0.148351067740655,2,518,-0.45895,0.17222,"ns"
49,0.0119305281675569,0.045261519725534,2,518,-0.46317,0.03064,"<.05"
50,0.00616680179607648,0.200979025593121,2,518,-0.27341,-0.16219,"ns"
51,0.0311598806782672,0.000332904626317965,2,518,-0.20096,-0.14301,"<.0005"
52,0.0311334876012178,0.000335135524509145,2,518,-0.15394,-0.11866,"<.0005"
53,0.0137828276708789,0.0280837287104125,2,518,-0.099452,-0.09574,"<.05"
54,0.00137387641803911,0.698839799439402,2,518,-0.050987,-0.076676,"ns"
55,0.00296046925600868,0.462304192313882,2,518,5.8045e-18,-0.047397,"ns"
56,0.00143481991592377,0.68782727749461,2,518,-0.41976,-0.1671,"ns"
57,0.000939381738325965,0.782655495927047,2,518,-0.33631,-0.19112,"ns"
58,0.0275908782195012,0.000822694277331948,2,518,-0.22492,-0.21452,"<.001"
