"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
110,0.0691780449746875,5.92809534238903e-06,2,356,0.1832,0.042556,"<.0001"
111,0.0885699008871897,2.33849003272724e-07,2,356,0.12367,0.07006,"<.0001"
112,0.0587245546300939,3.47108548729436e-05,2,356,0.058411,0.078036,"<.0001"
113,0.0822199191216329,6.69692396426669e-07,2,356,0.46317,0.03064,"<.0001"
114,0.0484241263925612,0.000201514027961869,2,356,0.39898,0.074566,"<.0005"
115,0.00680989517930594,0.294764132560042,2,356,0.33383,0.039461,"ns"
116,0.0110308110687504,0.138823279530187,2,356,0.22865,0.099464,"ns"
117,0.0404963843616668,0.000789549317169458,2,356,0.15612,0.11703,"<.001"
118,0.0175621448604001,0.0435675114483304,2,356,0.097709,0.1308,"<.05"
119,0.124700890261908,6.59420518189791e-10,2,356,0.45895,0.17222,"<.0001"
120,0.099318971055347,3.99524764382875e-08,2,356,0.41311,0.15319,"<.0001"
121,0.0585331372503636,3.58584469029033e-05,2,356,0.34659,0.19108,"<.0001"
122,0.0141965235631813,0.0790871079139212,2,356,0.27006,0.17418,"ns"
123,0.000402694116941087,0.930093475644045,2,356,0.1756,0.16852,"ns"
124,0.00639719037203979,0.317338673591925,2,356,0.12335,0.16655,"ns"
125,0.0806912728486582,8.63535372541691e-07,2,356,0.3348,0.24755,"<.0001"
126,0.120690265912943,1.25336918621599e-09,2,356,0.22208,0.39445,"<.0001"
127,0.101635580302498,2.73621791890832e-08,2,356,-0.22208,0.39445,"<.0001"
128,0.0876188169825291,2.7365479282615e-07,2,356,-0.3348,0.24755,"<.0001"
