"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
1,"Pattern",2.0892758463522,4,304,0.0821303729750929,0.27061,0.25813,"ns",0.0205791533916857,0.0267549650538832,1.87981681307462,0.181379557200533,2,18,4.26304339695281,0.0155438167253397,2,178,0.0798128642579278,0.216664970162446,2,36,0.0195351587958298,0.030744400644269,2,356
2,"Pattern",1.97726747538119,4,304,0.0978703587808511,0.18883,0.2394,"ns",0.0180490574557226,0.0253569731204732,6.23047661788013,0.00878539185091975,2,18,19.6428186433735,1.95712882566923e-08,2,178,0.0932565596758531,0.169534939466738,2,36,0.0141117312489989,0.0802861493492764,2,356
3,"Pattern",1.39928705568858,4,304,0.234123622189304,0.11004,0.2174,"ns",0.0130042921048339,0.0180788106572842,14.6366171345834,0.000168234359821051,2,18,38.2088651550634,1.55431223447522e-14,2,178,0.268794198522257,0.0090590012468561,2,36,0.0619297285384202,2.01517826496911e-05,2,356
4,"Pattern",0.583028548637719,4,304,0.675160104696211,0.073707,0.18359,"ns",0.00462165797846332,0.00761302549255334,16.3108206297018,9.08712599876349e-05,2,18,64.8461722461776,0,2,178,0.294637473452622,0.00611103491660492,2,36,0.0900182592718168,1.84115333534685e-07,2,356
5,"Pattern",0.810478387974438,4,304,0.519243478183555,0.035595,0.13683,"ns",0.00594817277848998,0.0105516643690287,21.1405263888233,1.88723112273248e-05,2,18,77.1654401875826,0,2,178,0.234550477684956,0.0154716401563186,2,36,0.0682278491782885,6.95615923429482e-06,2,356
6,"Pattern",0.704174289294736,4,304,0.589603038769621,-2.187e-17,0.089291,"ns",0.00445156907747346,0.00918039071301253,28.9791118026495,2.3565646017909e-06,2,18,108.943503186788,0,2,178,0.227383892924605,0.0173409268865854,2,36,0.0584860945312371,3.61462723061923e-05,2,356
7,"Pattern",2.10655377543155,4,304,0.0799273550183617,-0.028292,0.036037,"ns",0.0158512778808228,0.0269702563179041,32.4844608724674,1.06466635796387e-06,2,18,114.566055321403,0,2,178,0.232801177416623,0.0159073822983593,2,36,0.0540598967194437,7.68145643696982e-05,2,356
8,"Pattern",1.70060174894387,4,304,0.149734892074472,0.15945,0.30209,"ns",0.0178513202287555,0.0218865968945599,14.7998337421977,0.000158131094132985,2,18,40.8257048980243,2.55351295663786e-15,2,178,0.125239650156697,0.0958314550466883,2,36,0.00482450900239919,0.420504491620479,2,356
9,"Pattern",0.974621896895958,4,304,0.421596765607859,0.083862,0.27643,"ns",0.00985423662420024,0.0126616003155094,19.6954272137142,2.93675915512548e-05,2,18,64.9288131795086,0,2,178,0.287649748645014,0.00679163454835785,2,36,0.0610066712471559,2.35639912782304e-05,2,356
10,"Pattern",0.630708296560374,4,304,0.640938763980148,0.050145,0.23852,"ns",0.00530802468776912,0.00823049023792834,24.0033372875951,8.3399196119105e-06,2,18,69.6904884999376,0,2,178,0.271812726992744,0.00864803383477475,2,36,0.0546059763264116,6.99806855207763e-05,2,356
