"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,4.25419879573551e-05,0.989336907061954,2,500,0.27061,0.25813,"ns"
2,0.000678307056890756,0.842926959288635,2,500,0.18883,0.2394,"ns"
3,0.00757297734419657,0.149397723965572,2,500,0.11004,0.2174,"ns"
4,0.0252338978688828,0.00187449555042973,2,500,0.073707,0.18359,"<.005"
5,0.0301877678270731,0.000556484859206341,2,500,0.035595,0.13683,"<.001"
6,0.0319604339797419,0.000360861865273177,2,500,-2.187e-17,0.089291,"<.0005"
7,0.0316511477904966,0.000389169197787198,2,500,-0.028292,0.036037,"<.0005"
8,0.000425802480492564,0.898274835925043,2,500,0.15945,0.30209,"ns"
9,0.00368403045605022,0.395875240047317,2,500,0.083862,0.27643,"ns"
10,0.0039867161672529,0.366909809125068,2,500,0.050145,0.23852,"ns"
11,0.00584557980765973,0.230210051477774,2,500,-4.8953e-17,0.19987,"ns"
12,0.0148583380183566,0.0243180000507581,2,500,-0.035595,0.13683,"<.05"
13,0.0260235293100602,0.00154398012121626,2,500,-0.058411,0.078036,"<.005"
14,0.0010558042167283,0.766499537314363,2,500,0.044058,0.32872,"ns"
15,0.000513580656720146,0.878632254583466,2,500,-6.9342e-17,0.28311,"ns"
16,0.00329737608829782,0.436240794098858,2,500,-6.0391e-17,0.24656,"ns"
17,0.00328570709005196,0.437521231719535,2,500,-8.7824e-17,0.35857,"ns"
18,0.00613466051337535,0.214129515034143,2,500,-0.050145,0.23852,"ns"
19,0.0050628925674192,0.280101181064591,2,500,-0.073707,0.18359,"ns"
20,0.0134164840683694,0.0347944866084371,2,500,-0.097709,0.1308,"<.05"
21,0.0031832107498162,0.448931526666608,2,500,-0.044058,0.32872,"ns"
22,0.000257418973499702,0.937197568621584,2,500,-0.083862,0.27643,"ns"
23,0.00467281207577983,0.308885667336816,2,500,-0.11004,0.2174,"ns"
24,0.00928677512300083,0.0973559420345134,2,500,-0.12335,0.16655,"ns"
25,0.000142703152787801,0.964680222376863,2,500,-0.15945,0.30209,"ns"
26,0.00216349253801041,0.580069998223939,2,500,-0.18883,0.2394,"ns"
27,0.009310390141513,0.0967836469546274,2,500,-0.1756,0.16852,"ns"
28,0.0295326934694462,0.000653207712001613,2,500,-0.15612,0.11703,"<.001"
29,0.0417887067272619,3.31324107625264e-05,2,500,-0.12367,0.07006,"<.0001"
30,0.0476083472814487,8.14323139430861e-06,2,500,-0.089234,0.023191,"<.0001"
31,0.0331028081265638,0.000273077944698219,2,500,-0.044495,-0.015575,"<.0005"
32,0.0046315646672563,0.312097934429233,2,500,-0.27061,0.25813,"ns"
33,0.00200261470933814,0.604018634338607,2,500,-0.27006,0.17418,"ns"
34,0.0136660818278116,0.0327010533139178,2,500,-0.22865,0.099464,"<.05"
35,0.0281168957023982,0.00092389880104915,2,500,-0.1832,0.042556,"<.001"
36,0.0396800170929402,5.51989269208519e-05,2,500,-0.14086,0.0073253,"<.0001"
37,0.0581768110187999,6.4967608559563e-07,2,500,-0.091723,-0.035635,"<.0001"
38,0.0127600523885152,0.0409653160113069,2,500,-0.34659,0.19108,"<.05"
39,0.00358323222282109,0.40602209070639,2,500,-0.33383,0.039461,"ns"
40,0.00858803054554398,0.11591825583384,2,500,-0.25598,0.0011134,"ns"
