"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",0.767888864648228,4,432,0.546550661160984,0.27061,0.25813,"ns",0.00532961439804755,0.00705988571317952
2,"Pattern",1.99733393324899,4,432,0.0940022264896543,0.18883,0.2394,"ns",0.0142127178750787,0.0181580213067805
3,"Pattern",0.870588907785697,4,432,0.481474461652408,0.11004,0.2174,"ns",0.00672355736927456,0.00799654816346307
4,"Pattern",0.880611607429491,4,432,0.475408890907783,0.073707,0.18359,"ns",0.00626281122459377,0.00808786426186278
5,"Pattern",0.392094103346601,4,432,0.814324948034228,0.035595,0.13683,"ns",0.00234765108820911,0.00361736809856961
6,"Pattern",0.439799618000566,4,432,0.7798495216242,-2.187e-17,0.089291,"ns",0.00257996384631645,0.00405570297575099
7,"Pattern",0.466119843390137,4,432,0.760613892076432,-0.028292,0.036037,"ns",0.00220229876383225,0.00429737731987784
8,"Pattern",1.10881837350341,4,432,0.351793253825163,0.15945,0.30209,"ns",0.00774775935191205,0.0101625000621644
9,"Pattern",1.01082143934108,4,432,0.401453599992583,0.083862,0.27643,"ns",0.00762226096050532,0.00927267060273966
10,"Pattern",0.316028551270005,4,432,0.867253918869386,0.050145,0.23852,"ns",0.00211101518140529,0.00291765268258905
11,"Pattern",0.375197968989674,4,432,0.826348440061219,-4.8953e-17,0.19987,"ns",0.0023224013861451,0.00346202799183843
12,"Pattern",0.23009686637952,4,432,0.921451318021007,-0.035595,0.13683,"ns",0.00142185185045989,0.00212599704741646
13,"Pattern",0.556091234656802,4,432,0.694677075425165,-0.058411,0.078036,"ns",0.00372260817668765,0.00512261659693278
14,"Pattern",0.327047065987369,4,432,0.859807437301085,0.044058,0.32872,"ns",0.00198795379517705,0.00301907118162418
15,"Pattern",0.1376760443682,4,432,0.968284472457986,-6.9342e-17,0.28311,"ns",0.000953356124902999,0.00127315519811719
16,"Pattern",0.30751741977495,4,432,0.872941975300241,-6.0391e-17,0.24656,"ns",0.0020218504558849,0.00283929894342498
17,"Pattern",0.39256483693571,4,432,0.813988291616785,-8.7824e-17,0.35857,"ns",0.0020955589216884,0.00362169524751332
18,"Pattern",0.681190196547714,4,432,0.605286543215098,-0.050145,0.23852,"ns",0.00403508319219862,0.00626778373806723
