"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.0040577591035988,0.347526039701068,2,518,0.27061,0.25813,"ns"
2,0.0173935804282105,0.0111045819344638,2,518,0.18883,0.2394,"<.05"
3,0.0320050241689835,0.000268829505198465,2,518,0.11004,0.2174,"<.0005"
4,0.036324880156331,9.03886960107458e-05,2,518,0.073707,0.18359,"<.0001"
5,0.0465828171434552,6.9180513757594e-06,2,518,0.035595,0.13683,"<.0001"
6,0.0467899971639228,6.56984247437986e-06,2,518,-2.187e-17,0.089291,"<.0001"
7,0.0422107729739413,2.06222996291805e-05,2,518,-0.028292,0.036037,"<.0001"
8,0.0263305811919747,0.00113322375298308,2,518,0.15945,0.30209,"<.005"
9,0.0324698973489324,0.000239023789082693,2,518,0.083862,0.27643,"<.0005"
10,0.0593175716276088,2.9484470109864e-07,2,518,0.050145,0.23852,"<.0001"
11,0.0506314292435637,2.52637982012249e-06,2,518,-4.8953e-17,0.19987,"<.0001"
12,0.0521748608054368,1.72252444174958e-06,2,518,-0.035595,0.13683,"<.0001"
13,0.0455342681176285,8.98598941279083e-06,2,518,-0.058411,0.078036,"<.0001"
14,0.0292840828321476,0.000535376191841408,2,518,0.044058,0.32872,"<.001"
15,0.03033916758545,0.000409781490714023,2,518,-6.9342e-17,0.28311,"<.0005"
16,0.0431539901924281,1.62866426549613e-05,2,518,-6.0391e-17,0.24656,"<.0001"
17,0.0274647790856115,0.00084946622932125,2,518,-8.7824e-17,0.35857,"<.001"
18,0.0318061870226024,0.000282691802204749,2,518,-0.050145,0.23852,"<.0005"
19,0.0310687963951453,0.000340667288508234,2,518,-0.073707,0.18359,"<.0005"
20,0.036608021770433,8.41700093452413e-05,2,518,-0.097709,0.1308,"<.0001"
21,0.0278630036054529,0.000767770219786801,2,518,-0.044058,0.32872,"<.001"
22,0.0297167766733986,0.000479765260617881,2,518,-0.083862,0.27643,"<.0005"
23,0.0203547487996889,0.00520134775055281,2,518,-0.11004,0.2174,"<.01"
24,0.0275443854288695,0.000832465086229028,2,518,-0.12335,0.16655,"<.001"
25,0.0131333857974629,0.033195908508687,2,518,-0.15945,0.30209,"<.05"
26,0.00751663541149169,0.14164250159983,2,518,-0.18883,0.2394,"ns"
27,0.0139619161721818,0.0268185196995591,2,518,-0.1756,0.16852,"<.05"
28,0.0212400960827426,0.00414783119352724,2,518,-0.15612,0.11703,"<.005"
29,0.0526222276348024,1.54169796706682e-06,2,518,-0.12367,0.07006,"<.0001"
30,0.0762798844889727,4.67545513416212e-09,2,518,-0.089234,0.023191,"<.0001"
31,0.0593880573963439,2.89770789585475e-07,2,518,-0.044495,-0.015575,"<.0001"
32,0.00135173208374364,0.702884987050844,2,518,-0.27061,0.25813,"ns"
33,0.00392885298876333,0.359368830827559,2,518,-0.27006,0.17418,"ns"
34,0.0110699061374057,0.0565150090534934,2,518,-0.22865,0.099464,"ns"
35,0.0187008294794729,0.00794275377106279,2,518,-0.1832,0.042556,"<.01"
36,0.0417460615512907,2.31672595063515e-05,2,518,-0.14086,0.0073253,"<.0001"
37,0.0559476924400562,6.77026402717829e-07,2,518,-0.091723,-0.035635,"<.0001"
38,0.00159843996520195,0.659115042948729,2,518,-0.34659,0.19108,"ns"
39,0.000324665327222984,0.918766020325702,2,518,-0.33383,0.039461,"ns"
40,0.00318748363759658,0.435787753339544,2,518,-0.25598,0.0011134,"ns"
41,0.00776611488179888,0.132779481581432,2,518,-0.19461,-0.022574,"ns"
42,0.0187274293277796,0.00788881537589914,2,518,-0.15112,-0.059346,"<.01"
43,0.00646835467374367,0.185859896890978,2,518,-0.41311,0.15319,"ns"
44,0.00300951664072188,0.456441308587503,2,518,-0.39898,0.074566,"ns"
45,0.00423628360197985,0.331768890699141,2,518,-0.31837,-0.081339,"ns"
46,4.6294795505501e-05,0.987990042439797,2,518,-0.24052,-0.075603,"ns"
47,0.00347354501210597,0.404536936457896,2,518,-0.19145,-0.085584,"ns"
48,0.0102453216377805,0.0699258902072528,2,518,-0.45895,0.17222,"ns"
49,0.0166529523976721,0.0134287990937209,2,518,-0.46317,0.03064,"<.05"
50,0.0246497732119114,0.00173806248870845,2,518,-0.27341,-0.16219,"<.005"
51,0.00116229325394015,0.738465406723458,2,518,-0.20096,-0.14301,"ns"
52,0.00201796286530789,0.590873392506474,2,518,-0.15394,-0.11866,"ns"
53,0.034921784488147,0.000128719617368045,2,518,-0.099452,-0.09574,"<.0005"
54,0.0771897274431768,3.75054931556207e-09,2,518,-0.050987,-0.076676,"<.0001"
55,0.0597149655706898,2.67360427685936e-07,2,518,5.8045e-18,-0.047397,"<.0001"
56,0.0487996561585953,3.98314148730705e-06,2,518,-0.41976,-0.1671,"<.0001"
57,0.0371176839882799,7.40382073454171e-05,2,518,-0.33631,-0.19112,"<.0001"
58,0.0663502722840938,5.24683947400462e-08,2,518,-0.22492,-0.21452,"<.0001"
59,0.0208158405913781,0.00462288304735647,2,518,-0.15297,-0.18922,"<.005"
60,0.000261601101236032,0.934009294745551,2,518,-0.10478,-0.15427,"ns"
61,0.0218381252646083,0.00356019708877153,2,518,-0.054807,-0.12811,"<.005"
62,0.00212451831688471,0.574700320279327,2,518,1.1987e-17,-0.097882,"ns"
63,0.101357771322324,1.14982467991354e-11,2,518,-0.349,-0.28153,"<.0001"
64,0.109251783470334,1.78523862359725e-12,2,518,-0.25813,-0.2804,"<.0001"
65,0.10139327685081,1.14019904629004e-11,2,518,-0.16624,-0.26054,"<.0001"
66,0.0366192669428534,8.39320985528413e-05,2,518,-0.10296,-0.21873,"<.0001"
67,0.0062135147206321,0.198558558407036,2,518,-0.04676,-0.18643,"ns"
68,0.149498877411877,2.22044604925031e-16,2,518,-0.22108,-0.37388,"<.0001"
69,0.193014258379033,0,2,518,-0.1585,-0.34149,"<.0001"
70,0.183921773502382,0,2,518,-0.093018,-0.29235,"<.0001"
71,0.0613171789838033,1.80270044669584e-07,2,518,-0.039316,-0.23611,"<.0001"
72,0.0175102237231914,0.0107772783714186,2,518,2.5091e-17,-0.20489,"<.05"
73,0.191679494046428,0,2,518,-0.10679,-0.41491,"<.0001"
74,0.20343763266385,0,2,518,-0.049033,-0.36828,"<.0001"
75,0.192622374301192,0,2,518,3.6897e-17,-0.30129,"<.0001"
76,0.0571232503688784,5.06451019344212e-07,2,518,0.039316,-0.23611,"<.0001"
77,0.00394863828101223,0.357525146418877,2,518,0.04676,-0.18643,"ns"
78,0.00708336832011978,0.158469666703938,2,518,0.054807,-0.12811,"ns"
79,0.0630422183584133,1.18009930050178e-07,2,518,0.050987,-0.076676,"<.0001"
80,0.0652545370959618,6.86082820555711e-08,2,518,0.044495,-0.015575,"<.0001"
81,0.18983155289982,0,2,518,5.188e-17,-0.42363,"<.0001"
82,0.25185817716446,0,2,518,0.049033,-0.36828,"<.0001"
83,0.144097801695088,5.55111512312578e-16,2,518,0.093018,-0.29235,"<.0001"
84,0.0392184399284736,4.36669594297001e-05,2,518,0.10296,-0.21873,"<.0001"
85,0.000582514713193504,0.858995381208196,2,518,0.10478,-0.15427,"ns"
86,0.0482773122743045,4.53599793848181e-06,2,518,0.099452,-0.09574,"<.0001"
87,0.0816259404287239,1.28381594244331e-09,2,518,0.091723,-0.035635,"<.0001"
88,0.182489366298698,0,2,518,0.10679,-0.41491,"<.0001"
89,0.215002183271875,0,2,518,0.1585,-0.34149,"<.0001"
90,0.124281935253137,5.340172748447e-14,2,518,0.16624,-0.26054,"<.0001"
91,0.0139712114504065,0.0267544358666184,2,518,0.15297,-0.18922,"<.05"
92,0.0124435119074785,0.0396540392048252,2,518,0.15394,-0.11866,"<.05"
93,0.0578111771858966,4.2739445715867e-07,2,518,0.15112,-0.059346,"<.0001"
94,0.150729043936288,1.11022302462516e-16,2,518,0.22108,-0.37388,"<.0001"
95,0.14154973911498,9.99200722162641e-16,2,518,0.25813,-0.2804,"<.0001"
96,0.0519340489357035,1.82852595687066e-06,2,518,0.22492,-0.21452,"<.0001"
97,0.00201908555163153,0.59070063084612,2,518,0.20096,-0.14301,"ns"
98,0.0152268567889625,0.0193700546635254,2,518,0.19145,-0.085584,"<.05"
99,0.159196258835323,0,2,518,0.349,-0.28153,"<.0001"
100,0.0634121359489519,1.07770442570043e-07,2,518,0.33631,-0.19112,"<.0001"
101,0.0282698117931788,0.000692448574924676,2,518,0.27341,-0.16219,"<.001"
102,0.0042903385274902,0.327140791080991,2,518,0.24052,-0.075603,"ns"
103,0.0387922047199564,4.8600399893739e-05,2,518,0.19461,-0.022574,"<.0001"
104,0.072446030620807,1.18604099874631e-08,2,518,0.14086,0.0073253,"<.0001"
105,0.0650215316824824,7.26375236625998e-08,2,518,0.089234,0.023191,"<.0001"
106,0.0482315657886135,4.58794067803581e-06,2,518,0.028292,0.036037,"<.0001"
