"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",2.0773190256309,4,448,0.0827883604028172,0.27061,0.25813,"ns",0.0148281855477245,0.0182097461912141
2,"Pattern",1.91736445828775,4,448,0.106470265547611,0.18883,0.2394,"ns",0.0143829611194472,0.0168311869520982
3,"Pattern",1.70890711917191,4,448,0.146892861670774,0.11004,0.2174,"ns",0.0122386301892194,0.0150287885308835
4,"Pattern",2.07722747116358,4,448,0.0828003674713333,0.073707,0.18359,"ns",0.0148114729979087,0.0182089582400542
5,"Pattern",4.198259734019,4,448,0.00239241103598571,0.035595,0.13683,"<.005",0.0278149809445978,0.0361301429438697
6,"Pattern",5.09196895865468,4,448,0.00050793976845136,-2.187e-17,0.089291,"<.001",0.0329545441573588,0.0434869189060495
7,"Pattern",4.04638708732147,4,448,0.00310712184640666,-0.028292,0.036037,"<.005",0.0286751185282782,0.034868703704465
8,"Pattern",1.5959672673818,4,448,0.174296138006372,0.15945,0.30209,"ns",0.0115386456163592,0.0140495063845464
9,"Pattern",3.21729303338816,4,448,0.0127500387425588,0.083862,0.27643,"<.05",0.0233784017741975,0.0279236992007427
10,"Pattern",1.41490162694841,4,448,0.227973665768543,0.050145,0.23852,"ns",0.0116271974036573,0.0124754472882443
11,"Pattern",4.45897217240716,4,448,0.00152511367546972,-4.8953e-17,0.19987,"<.005",0.0292553850220466,0.0382879231134382
12,"Pattern",4.10558415861373,4,448,0.00280637336583585,-0.035595,0.13683,"<.005",0.0275177286354993,0.035360781209326
13,"Pattern",4.3549152982992,4,448,0.00182573268733915,-0.058411,0.078036,"<.005",0.0281202853656695,0.0374278584375615
14,"Pattern",1.67423823403198,4,448,0.154853418020603,0.044058,0.32872,"ns",0.0120412065723765,0.0147283875400605
15,"Pattern",2.25653463103252,4,448,0.0622009501732737,-6.9342e-17,0.28311,"ns",0.0158649630449662,0.0197497205592619
16,"Pattern",4.36300026916002,4,448,0.00180040635837135,-6.0391e-17,0.24656,"<.005",0.029328980757095,0.0374947385257164
17,"Pattern",2.82355461365721,4,448,0.0246240679431698,-8.7824e-17,0.35857,"<.05",0.0191259442537996,0.0245903780209342
18,"Pattern",2.68747426920085,4,448,0.0308365645586837,-0.050145,0.23852,"<.05",0.0171634609869271,0.0234330234084034
19,"Pattern",3.2985077147775,4,448,0.0111185725377976,-0.073707,0.18359,"<.05",0.021895719477248,0.0286084163633519
20,"Pattern",4.08387617010428,4,448,0.00291315839650899,-0.097709,0.1308,"<.005",0.0264050085166889,0.0351803911519972
21,"Pattern",3.26621254840944,4,448,0.0117412104124762,-0.044058,0.32872,"<.05",0.0198717453252628,0.0283362528896983
22,"Pattern",2.03513560879307,4,448,0.0884985552489093,-0.083862,0.27643,"ns",0.0132071770307682,0.0178465663054479
23,"Pattern",2.67021425297456,4,448,0.0317258514541734,-0.11004,0.2174,"<.05",0.0172871368341947,0.0232860317770383
24,"Pattern",2.74795702106267,4,448,0.0279071933342645,-0.12335,0.16655,"<.05",0.0168113230722803,0.023947764233905
25,"Pattern",1.42734406923714,4,448,0.223862384365803,-0.15945,0.30209,"ns",0.00817754192011321,0.0125837740533348
26,"Pattern",2.67843398057422,4,448,0.0312992883284357,-0.18883,0.2394,"<.05",0.0155138475916043,0.023356039035447
27,"Pattern",1.40280878969306,4,448,0.232032962672879,-0.1756,0.16852,"ns",0.00848199160211184,0.0123701414864828
28,"Pattern",1.73927916084471,4,448,0.140229873473708,-0.15612,0.11703,"ns",0.012282865703423,0.0152918074888193
29,"Pattern",2.86480916584406,4,448,0.0229942450774395,-0.12367,0.07006,"<.05",0.0204536679575946,0.0249407036554407
30,"Pattern",6.05669549495759,4,448,9.40085307009854e-05,-0.089234,0.023191,"<.0001",0.0369460349323213,0.0513032782220834
31,"Pattern",4.80425212405093,4,448,0.000838040161406512,-0.044495,-0.015575,"<.001",0.0316957401855608,0.0411307982088582
32,"Pattern",1.42651613101786,4,448,0.224133910738374,-0.27061,0.25813,"ns",0.0098464476221812,0.0125765665708193
33,"Pattern",2.00339793827153,4,448,0.0930378605596384,-0.27006,0.17418,"ns",0.0171403990459675,0.0175731423317425
34,"Pattern",1.23482207855695,4,448,0.295268699881043,-0.22865,0.099464,"ns",0.010057210680693,0.0109049677112601
35,"Pattern",1.09014622713718,4,448,0.360808737554741,-0.1832,0.042556,"ns",0.00826695978836263,0.00963962169566625
36,"Pattern",2.21269296010335,4,448,0.0667314708603467,-0.14086,0.0073253,"ns",0.0154689671171744,0.019373441801922
37,"Pattern",3.39600056489393,4,448,0.00942910479985882,-0.091723,-0.035635,"<.01",0.0216252647407498,0.0294291010803634
38,"Pattern",0.62014434712976,4,448,0.648355541123177,-0.34659,0.19108,"ns",0.00478349314216495,0.0055065135169627
39,"Pattern",1.61389885636686,4,448,0.169655400033188,-0.33383,0.039461,"ns",0.0113312174171415,0.0142051181467435
40,"Pattern",2.55681137300957,4,448,0.038217838928022,-0.25598,0.0011134,"<.05",0.0179603222855707,0.0223191562541341
41,"Pattern",0.717062561101883,4,448,0.580583592272291,-0.19461,-0.022574,"ns",0.00536219426299317,0.00636161504575384
42,"Pattern",1.61597127329877,4,448,0.169126353382153,-0.15112,-0.059346,"ns",0.0108389356279486,0.014223099580002
43,"Pattern",1.13135775587004,4,448,0.341037355593489,-0.41311,0.15319,"ns",0.0075627884608127,0.0100003905045623
44,"Pattern",0.452720249099953,4,448,0.770421806658205,-0.39898,0.074566,"ns",0.00313197923186352,0.00402587192285886
45,"Pattern",2.07948349562693,4,448,0.0825049769822346,-0.31837,-0.081339,"ns",0.0164320417626145,0.0182283740415659
46,"Pattern",1.38015469112651,4,448,0.239808404508597,-0.24052,-0.075603,"ns",0.011388976996973,0.0121728065628978
47,"Pattern",1.0881110033547,4,448,0.361808381025731,-0.19145,-0.085584,"ns",0.00760910079351911,0.00962179838093168
48,"Pattern",0.647876527388111,4,448,0.62863138603701,-0.45895,0.17222,"ns",0.00451710712574449,0.00575134256730168
49,"Pattern",0.1652889972232,4,448,0.955914261300413,-0.46317,0.03064,"ns",0.00112259746892472,0.00147361985780906
50,"Pattern",3.77247721909171,4,448,0.00496906901041133,-0.27341,-0.16219,"<.005",0.0309017502861014,0.0325852681890234
51,"Pattern",1.67415619581645,4,448,0.154872715561813,-0.20096,-0.14301,"ns",0.0119736313895091,0.0147276764732041
52,"Pattern",1.22060152342759,4,448,0.301238587750318,-0.15394,-0.11866,"ns",0.00742650565038591,0.0107807369595632
53,"Pattern",1.51667353765564,4,448,0.19622472554678,-0.099452,-0.09574,"ns",0.00900346236939146,0.013360799699196
54,"Pattern",3.78456748396058,4,448,0.00486741974291991,-0.050987,-0.076676,"<.005",0.0206574551757962,0.0326862859723067
55,"Pattern",3.72443052043368,4,448,0.00539414335471356,5.8045e-18,-0.047397,"<.01",0.0283869887432088,0.032183615021342
56,"Pattern",2.38199490538182,4,448,0.0508045722264027,-0.41976,-0.1671,"ns",0.0174216407273583,0.0208249113625989
57,"Pattern",1.49899489976168,4,448,0.201439534255428,-0.33631,-0.19112,"ns",0.010284895580975,0.0132071204778997
58,"Pattern",3.95004198114559,4,448,0.00366616475110522,-0.22492,-0.21452,"<.005",0.0260659953218511,0.0340667576626484
59,"Pattern",2.64702214059837,4,448,0.03296001419834,-0.15297,-0.18922,"<.05",0.0176144130884727,0.0230884508919226
60,"Pattern",1.474448700291,4,448,0.208885383872495,-0.10478,-0.15427,"ns",0.00950245193402091,0.012993662601396
61,"Pattern",2.36255078206135,4,448,0.0524291712294579,-0.054807,-0.12811,"ns",0.0116827659864981,0.0206584302807623
62,"Pattern",1.61841454286164,4,448,0.168504562243371,1.1987e-17,-0.097882,"ns",0.00833072314568281,0.0142442978928482
63,"Pattern",1.75540177147884,4,448,0.136807198165538,-0.349,-0.28153,"ns",0.0112899124704167,0.0154313706790402
64,"Pattern",4.1010172107745,4,448,0.00282851226783753,-0.25813,-0.2804,"<.005",0.0279026464391379,0.0353228361757533
65,"Pattern",4.08164811772889,4,448,0.00292434348934141,-0.16624,-0.26054,"<.005",0.0257573932057224,0.0351618725605043
66,"Pattern",3.17787262239473,4,448,0.0136243859890973,-0.10296,-0.21873,"<.05",0.0195034817591755,0.0275909994692577
67,"Pattern",1.66238495362378,4,448,0.157664547922665,-0.04676,-0.18643,"ns",0.0083083699497164,0.0146256385021488
68,"Pattern",3.28405406090872,4,448,0.011393121233127,-0.22108,-0.37388,"<.05",0.019686139325586,0.0284866288547906
69,"Pattern",5.44859996841797,4,448,0.00027258826025596,-0.1585,-0.34149,"<.0005",0.0325964871649025,0.0463913573246774
70,"Pattern",3.09839135135032,4,448,0.0155696048123944,-0.093018,-0.29235,"<.05",0.0177823707533255,0.026919501784279
71,"Pattern",1.88549405947901,4,448,0.111892475652119,-0.039316,-0.23611,"ns",0.0111367179622082,0.016556051102472
72,"Pattern",0.978578022991008,4,448,0.418877627245543,2.5091e-17,-0.20489,"ns",0.00536935517151925,0.00866162453196984
73,"Pattern",4.90262299625131,4,448,0.000706298116029952,-0.10679,-0.41491,"<.001",0.0306688258179095,0.041937664618599
74,"Pattern",3.15390682765989,4,448,0.0141843867007338,-0.049033,-0.36828,"<.05",0.0193123087941707,0.0273886220150572
75,"Pattern",1.79910907086893,4,448,0.127913165931301,3.6897e-17,-0.30129,"ns",0.0106792513067708,0.0158095180670398
