"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",2.82012330559042,4,304,0.025328307307789,0.27061,0.25813,"<.05",0.0276977054906684,0.0357792298123746
2,"Pattern",1.44568812755783,4,304,0.218837860962874,0.18883,0.2394,"ns",0.013938591253413,0.0186671222441292
3,"Pattern",1.10216825207254,4,304,0.355623421810891,0.11004,0.2174,"ns",0.0104447811296162,0.0142949060585324
4,"Pattern",0.902024116859998,4,304,0.463042140641984,0.073707,0.18359,"ns",0.00886813295369079,0.0117295237312517
5,"Pattern",0.862326346705377,4,304,0.486884853254205,0.035595,0.13683,"ns",0.00867517878166697,0.0112191028777304
6,"Pattern",0.997137087619334,4,304,0.409316872337297,-2.187e-17,0.089291,"ns",0.00938226914102288,0.0129503138082217
7,"Pattern",1.04580553012754,4,304,0.383703869611343,-0.028292,0.036037,"ns",0.00953838904477432,0.0135738152509626
8,"Pattern",1.52679179700848,4,304,0.194239914355515,0.15945,0.30209,"ns",0.0120065839678294,0.0196937311814236
9,"Pattern",1.08346434401769,4,304,0.364754887902382,0.083862,0.27643,"ns",0.00958106043183945,0.0140557297630302
10,"Pattern",1.58108200618656,4,304,0.179193308546829,0.050145,0.23852,"ns",0.0155245030911965,0.0203797364679766
11,"Pattern",1.38823638881083,4,304,0.23789989473381,-4.8953e-17,0.19987,"ns",0.0137862536713009,0.0179385970476974
12,"Pattern",3.22449513084645,4,304,0.0129880262607848,-0.035595,0.13683,"<.05",0.0269228695119118,0.0407007343564753
13,"Pattern",1.58737887714819,4,304,0.177518238758786,-0.058411,0.078036,"ns",0.0162879876086495,0.020459240924502
14,"Pattern",1.68206592297088,4,304,0.153991614987708,0.044058,0.32872,"ns",0.0163268389103649,0.0216532078927819
15,"Pattern",1.70555999655061,4,304,0.148614741245716,-6.9342e-17,0.28311,"ns",0.0153621842298052,0.0219490084959985
16,"Pattern",1.23859565192835,4,304,0.294496756313999,-6.0391e-17,0.24656,"ns",0.0122104787832984,0.0160359680477622
17,"Pattern",1.64724382191451,4,304,0.16229028727608,-8.7824e-17,0.35857,"ns",0.0144953465998272,0.0212144532224801
18,"Pattern",2.68845574388978,4,304,0.0314127581886415,-0.050145,0.23852,"<.05",0.0247103012496564,0.0341658216376745
19,"Pattern",4.59409044286684,4,304,0.00129049421360546,-0.073707,0.18359,"<.005",0.0392085556566231,0.0570028201524725
20,"Pattern",1.93763133116908,4,304,0.104092839400602,-0.097709,0.1308,"ns",0.0172010264291802,0.024861306381455
21,"Pattern",2.03418017398094,4,304,0.0895466027914711,-0.044058,0.32872,"ns",0.0186472067615688,0.0260678098936343
22,"Pattern",2.28003239758001,4,304,0.0607147197622539,-0.083862,0.27643,"ns",0.0211905437407035,0.0291266154055718
23,"Pattern",3.37474271611708,4,304,0.0101120057477833,-0.11004,0.2174,"<.05",0.0297289469259543,0.042516581479663
24,"Pattern",3.18769587159656,4,304,0.0138069715838358,-0.12335,0.16655,"<.05",0.0263341249255852,0.0402549390597932
25,"Pattern",1.90184767134678,4,304,0.110028345105354,-0.15945,0.30209,"ns",0.0186731632996529,0.0244133833560703
26,"Pattern",3.04585184980956,4,304,0.0174653678892682,-0.18883,0.2394,"<.05",0.0277458206108857,0.0385327221926434
27,"Pattern",2.70527123292965,4,304,0.0305629154511036,-0.1756,0.16852,"<.05",0.0209804186232651,0.0343721734332552
28,"Pattern",1.24910944244504,4,304,0.290174741717991,-0.15612,0.11703,"ns",0.0112180379644741,0.0161698879308854
29,"Pattern",0.830187912987604,4,304,0.506783167885159,-0.12367,0.07006,"ns",0.00913142168868625,0.0108054911166925
30,"Pattern",1.11265383962175,4,304,0.350584927598279,-0.089234,0.023191,"ns",0.0114796305285824,0.0144289397941852
31,"Pattern",1.8439054304776,4,304,0.12031653147063,-0.044495,-0.015575,"ns",0.0180064765639628,0.0236872163630638
32,"Pattern",2.27091422113357,4,304,0.0616035644490946,-0.27061,0.25813,"ns",0.0196711150493691,0.0290135134325595
33,"Pattern",0.550825797704323,4,304,0.698560163454812,-0.27006,0.17418,"ns",0.00502309320587379,0.00719555657256988
34,"Pattern",0.976399175781781,4,304,0.420617520136288,-0.22865,0.099464,"ns",0.0104652145183842,0.0126843965973531
35,"Pattern",0.935111646292026,4,304,0.443803827283764,-0.1832,0.042556,"ns",0.0102610374980636,0.0121545498054411
36,"Pattern",1.68921022150558,4,304,0.152337929454198,-0.14086,0.0073253,"ns",0.0186785042234159,0.0217431766482031
37,"Pattern",1.86463645087446,4,304,0.116536348160755,-0.091723,-0.035635,"ns",0.0200649829395677,0.0239471541365364
38,"Pattern",2.20204521870609,4,304,0.0687311271153406,-0.34659,0.19108,"ns",0.0194619459969377,0.0281584095728913
39,"Pattern",0.667633139854053,4,304,0.614896591220524,-0.33383,0.039461,"ns",0.00566598578686673,0.00870814856950368
40,"Pattern",0.863908783930636,4,304,0.485918744174028,-0.25598,0.0011134,"ns",0.00858934844887774,0.0112394594237868
41,"Pattern",0.585353191026402,4,304,0.673478647055804,-0.19461,-0.022574,"ns",0.0067323516813608,0.00764314802552858
42,"Pattern",1.89955300287289,4,304,0.110419604759505,-0.15112,-0.059346,"ns",0.0213500639599369,0.0243846457347815
43,"Pattern",1.34709426966608,4,304,0.252432343790889,-0.41311,0.15319,"ns",0.0118347469765422,0.017416223355069
44,"Pattern",2.81813190812505,4,304,0.0254111403978579,-0.39898,0.074566,"<.05",0.0267902972973079,0.0357548680728697
45,"Pattern",0.669606506562717,4,304,0.613517888637025,-0.31837,-0.081339,"ns",0.00565740939723086,0.00873366301293591
46,"Pattern",0.616628489776548,4,304,0.650981456118646,-0.24052,-0.075603,"ns",0.00733832186141164,0.00804823315683786
47,"Pattern",0.883933780080011,4,304,0.473805220178384,-0.19145,-0.085584,"ns",0.0095267844563976,0.0114969895089971
48,"Pattern",3.62159093349052,4,304,0.00668894534914799,-0.45895,0.17222,"<.01",0.0305985775604223,0.045485036044001
49,"Pattern",2.88137091338186,4,304,0.0229054864346846,-0.46317,0.03064,"<.05",0.0250943212781241,0.0365279010749679
50,"Pattern",0.44592093722854,4,304,0.775351807853498,-0.27341,-0.16219,"ns",0.00421627166049619,0.00583315540922969
51,"Pattern",1.33836215902705,4,304,0.255614406502421,-0.20096,-0.14301,"ns",0.0135173210260644,0.0173052819023377
52,"Pattern",1.77240357284412,4,304,0.134249653768296,-0.15394,-0.11866,"ns",0.017563118825592,0.0227896206291738
