"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",1.52814495463512,4,448,0.192905950048717,0.27061,0.25813,"ns",0.0113060354997718,0.0134604943579916
2,"Pattern",0.771752469228346,4,448,0.543987013629611,0.18883,0.2394,"ns",0.00603066129879263,0.0068434909658687
3,"Pattern",0.325389668949337,4,448,0.860939552118287,0.11004,0.2174,"ns",0.00262042920093573,0.00289684878822447
4,"Pattern",0.574995690429102,4,448,0.68091255680327,0.073707,0.18359,"ns",0.00508287889640429,0.00510766788755016
5,"Pattern",0.930436672177261,4,448,0.446001524955334,0.035595,0.13683,"ns",0.00707239136819644,0.00823902483329805
6,"Pattern",0.724266467730349,4,448,0.575688428014152,-2.187e-17,0.089291,"ns",0.00469851627828862,0.00642511581956211
7,"Pattern",0.686667225494267,4,448,0.601470344461567,-0.028292,0.036037,"ns",0.00465644434852262,0.00609359778224868
8,"Pattern",0.562148760265787,4,448,0.690257269987459,0.15945,0.30209,"ns",0.00449795254037934,0.00499411895079445
9,"Pattern",1.05613770473084,4,448,0.377802149690908,0.083862,0.27643,"ns",0.00933042658218239,0.00934171046501835
10,"Pattern",0.385394368231937,4,448,0.819112087371402,0.050145,0.23852,"ns",0.00283957694222533,0.00342922112253473
11,"Pattern",0.987745034081132,4,448,0.41385398453527,-4.8953e-17,0.19987,"ns",0.00729182405329467,0.00874205458108039
12,"Pattern",1.30386108481567,4,448,0.267687233555451,-0.035595,0.13683,"ns",0.00955082403988893,0.0115076491862854
13,"Pattern",0.752658443440169,4,448,0.556612967954886,-0.058411,0.078036,"ns",0.00527869666459913,0.0066753055212239
14,"Pattern",0.961408034975337,4,448,0.428408762159494,0.044058,0.32872,"ns",0.00916107686434038,0.0085109423802301
15,"Pattern",0.854622822746945,4,448,0.491213603656087,-6.9342e-17,0.28311,"ns",0.00813247896162909,0.00757277638585743
16,"Pattern",1.7263417308281,4,448,0.143033289042386,-6.0391e-17,0.24656,"ns",0.0130637544968218,0.0151797877655651
17,"Pattern",1.37823715045385,4,448,0.240476896197523,-8.7824e-17,0.35857,"ns",0.0114382616073984,0.0121560996633324
18,"Pattern",1.36053761241732,4,448,0.246724467605147,-0.050145,0.23852,"ns",0.0119815347236451,0.0120018627387692
19,"Pattern",1.37811068521543,4,448,0.24052104158368,-0.073707,0.18359,"ns",0.0109565753505727,0.012154997793548
20,"Pattern",1.73636236399406,4,448,0.140857456221901,-0.097709,0.1308,"ns",0.0135102078230741,0.0152665544062076
21,"Pattern",1.27875696608089,4,448,0.277451119206782,-0.044058,0.32872,"ns",0.0104541882781985,0.0112885857889824
22,"Pattern",1.15138339400874,4,448,0.331751114993088,-0.083862,0.27643,"ns",0.00924832220560612,0.0101756015655546
23,"Pattern",2.06147532175551,4,448,0.0848909296247866,-0.11004,0.2174,"ns",0.016154956758196,0.0180733706620952
24,"Pattern",1.7827735493083,4,448,0.131172676896128,-0.12335,0.16655,"ns",0.0144499003449641,0.0156682201856833
25,"Pattern",1.74154771652641,4,448,0.139743551081712,-0.15945,0.30209,"ns",0.0132967290469827,0.0153114473250074
26,"Pattern",1.58683567656047,4,448,0.17670339562344,-0.18883,0.2394,"ns",0.0141666938530103,0.0139702428288345
27,"Pattern",1.8188135792342,4,448,0.124081435112956,-0.1756,0.16852,"ns",0.0142187033995416,0.015979902812535
28,"Pattern",1.46014875158537,4,448,0.213335215110146,-0.15612,0.11703,"ns",0.0115881041757519,0.0128692652675988
29,"Pattern",2.39202637904989,4,448,0.0499854394963094,-0.12367,0.07006,"<.05",0.0181721515611227,0.0209107789656917
30,"Pattern",0.684574193828127,4,448,0.602921940951912,-0.089234,0.023191,"ns",0.00456150157648779,0.00607513671437046
31,"Pattern",0.691574045598905,4,448,0.598073837484462,-0.044495,-0.015575,"ns",0.00498863214187018,0.00613687448645513
32,"Pattern",0.677022063608891,4,448,0.608173313816103,-0.27061,0.25813,"ns",0.00522633975323959,0.00600851931662425
33,"Pattern",0.246521835855934,4,448,0.911730709480449,-0.27006,0.17418,"ns",0.00163246407840013,0.00219625367293283
34,"Pattern",0.670149082258236,4,448,0.612970713955374,-0.22865,0.099464,"ns",0.00506144394434078,0.00594788493418051
35,"Pattern",0.869504222365944,4,448,0.482101823264658,-0.1832,0.042556,"ns",0.00530969973921634,0.0077036240068258
36,"Pattern",1.17096760323314,4,448,0.322870322814655,-0.14086,0.0073253,"ns",0.00773527533502185,0.010346890444009
37,"Pattern",0.549410360441542,4,448,0.69955020459377,-0.091723,-0.035635,"ns",0.0034629510801805,0.00488150367631465
38,"Pattern",0.230279371702243,4,448,0.921351119826631,-0.34659,0.19108,"ns",0.00155699362845185,0.00205184708611093
39,"Pattern",1.72930969100584,4,448,0.142385634383103,-0.33383,0.039461,"ns",0.0129842735166251,0.0152054883275406
40,"Pattern",0.352177351813766,4,448,0.84251878964884,-0.25598,0.0011134,"ns",0.00217154104550574,0.00313458412747068
41,"Pattern",0.204636801742262,4,448,0.935798072888025,-0.19461,-0.022574,"ns",0.0013321822392207,0.001823782043017
42,"Pattern",0.212857748157944,4,448,0.931271658566157,-0.15112,-0.059346,"ns",0.00126272442363279,0.00189691050053877
43,"Pattern",0.580816768779266,4,448,0.676688683647589,-0.41311,0.15319,"ns",0.00429864435026296,0.00515910956634965
44,"Pattern",0.718236727294125,4,448,0.57978424646005,-0.39898,0.074566,"ns",0.00566103825188124,0.00637196560332821
45,"Pattern",0.571464985865315,4,448,0.683477740342128,-0.31837,-0.081339,"ns",0.00491281662210898,0.00507646396835174
46,"Pattern",0.236723266033641,4,448,0.917575329939765,-0.24052,-0.075603,"ns",0.001482828352465,0.0021091427043227
47,"Pattern",0.728022545464192,4,448,0.573144802349576,-0.19145,-0.085584,"ns",0.00509359911712989,0.0064582215586242
48,"Pattern",0.668921038294021,4,448,0.613829698420409,-0.45895,0.17222,"ns",0.00479206034938929,0.00593705018322371
49,"Pattern",0.724104752702333,4,448,0.57579807629939,-0.46317,0.03064,"ns",0.00535885029812773,0.00642369042797809
50,"Pattern",0.578728674644532,4,448,0.678203054248214,-0.27341,-0.16219,"ns",0.0046866558153774,0.00514065740000558
51,"Pattern",0.446232766111966,4,448,0.775160582216155,-0.20096,-0.14301,"ns",0.00295256549570154,0.00396841010263216
52,"Pattern",0.604156669844623,4,448,0.659827368721267,-0.15394,-0.11866,"ns",0.00408225821016081,0.00536531410306646
53,"Pattern",0.316541948291291,4,448,0.866915384403208,-0.099452,-0.09574,"ns",0.00237437990206208,0.00281830212006546
54,"Pattern",0.618436479101363,4,448,0.649577696360841,-0.050987,-0.076676,"ns",0.00464931484132087,0.00549143193988603
55,"Pattern",1.52833184581145,4,448,0.19285230046693,5.8045e-18,-0.047397,"ns",0.010768262196766,0.0134621184065944
56,"Pattern",0.504667945899951,4,448,0.732332774715975,-0.41976,-0.1671,"ns",0.00349054959562882,0.00448575117027704
57,"Pattern",0.27553321847866,4,448,0.893758874130551,-0.33631,-0.19112,"ns",0.00231083455610802,0.00245408069398785
58,"Pattern",1.06391418323579,4,448,0.373861978482926,-0.22492,-0.21452,"ns",0.00811068173128391,0.00940984743825133
59,"Pattern",1.12497876545728,4,448,0.344039303199384,-0.15297,-0.18922,"ns",0.00781200065941273,0.00994456553923166
60,"Pattern",1.07286340147795,4,448,0.369367591947646,-0.10478,-0.15427,"ns",0.0075124313640898,0.00948824827817995
61,"Pattern",1.20149066713951,4,448,0.309420287426868,-0.054807,-0.12811,"ns",0.00975004520939974,0.0106137353850967
62,"Pattern",1.0511331699958,4,448,0.380354953666052,1.1987e-17,-0.097882,"ns",0.00829028853111952,0.00929785611626912
63,"Pattern",0.308192752107849,4,448,0.872499229592974,-0.349,-0.28153,"ns",0.00244002658511572,0.00274416981126308
64,"Pattern",0.809369961223146,4,448,0.519613216752866,-0.25813,-0.2804,"ns",0.00705744740157946,0.00717466963516734
65,"Pattern",1.54688196511223,4,448,0.187593484927292,-0.16624,-0.26054,"ns",0.0101859766894124,0.0136232887979039
66,"Pattern",1.68317760472683,4,448,0.152763790282452,-0.10296,-0.21873,"ns",0.010830992017259,0.0148058634548305
67,"Pattern",1.18183979162585,4,448,0.318025128366702,-0.04676,-0.18643,"ns",0.00829601382265709,0.0104419560046177
68,"Pattern",1.09917530906791,4,448,0.356400386349883,-0.22108,-0.37388,"ns",0.00826420489156232,0.00971868544632776
69,"Pattern",0.899925500675398,4,448,0.463833516032746,-0.1585,-0.34149,"ns",0.00664167125940204,0.00797100172284892
70,"Pattern",1.10489243246539,4,448,0.35363136300329,-0.093018,-0.29235,"ns",0.00710784814478639,0.00976874128698825
71,"Pattern",1.25603615039534,4,448,0.286548166208388,-0.039316,-0.23611,"ns",0.00873785352755912,0.0110902358327941
72,"Pattern",2.14755799314827,4,448,0.0740473980923834,2.5091e-17,-0.20489,"ns",0.015374768552336,0.0188138759243293
73,"Pattern",0.825589843911915,4,448,0.509315921817759,-0.10679,-0.41491,"ns",0.00708595479185055,0.00731739887249049
74,"Pattern",0.662936547005775,4,448,0.618023360888301,-0.049033,-0.36828,"ns",0.00489100560181228,0.0058842470054842
75,"Pattern",1.08866879740427,4,448,0.361534189966903,3.6897e-17,-0.30129,"ns",0.00800543057772585,0.00962668328296087
76,"Pattern",1.65855252776562,4,448,0.158583384838276,0.039316,-0.23611,"ns",0.013244846048179,0.0145924128970449
77,"Pattern",1.80795015054933,4,448,0.126180546114917,0.04676,-0.18643,"ns",0.0125145700015157,0.0158859741183081
78,"Pattern",0.821373703339717,4,448,0.511980017712428,0.054807,-0.12811,"ns",0.00567705717879833,0.00728030227232912
79,"Pattern",2.02844011632958,4,448,0.0894384281849312,0.050987,-0.076676,"ns",0.0140313182337527,0.0177888964740744
80,"Pattern",0.76446329282905,4,448,0.548787274271042,0.044495,-0.015575,"ns",0.00490966179978301,0.00677929261139546
81,"Pattern",0.3992265026374,4,448,0.809219865260252,5.188e-17,-0.42363,"ns",0.00318829173813152,0.00355186165474219
82,"Pattern",0.756107106850735,4,448,0.554320230683093,0.049033,-0.36828,"ns",0.00582359972560858,0.0067056865144717
83,"Pattern",1.36107531332201,4,448,0.246532608119128,0.093018,-0.29235,"ns",0.00868920153454845,0.0120065490695117
84,"Pattern",2.36676313545525,4,448,0.0520730422343828,0.10296,-0.21873,"ns",0.0139334024530811,0.0206945013618342
85,"Pattern",1.88703387157117,4,448,0.111624673752457,0.10478,-0.15427,"ns",0.0112549518382768,0.0165693477775455
86,"Pattern",1.77483791055576,4,448,0.132783731154623,0.099452,-0.09574,"ns",0.0102427767426722,0.0155995643953459
87,"Pattern",0.880064076044324,4,448,0.475705675459861,0.091723,-0.035635,"ns",0.0056939050947774,0.0077964526619284
88,"Pattern",0.757847559641971,4,448,0.553165186599884,0.10679,-0.41491,"ns",0.00516198274248979,0.00672101832416689
89,"Pattern",0.729991811570052,4,448,0.571813613830114,0.1585,-0.34149,"ns",0.0051053233807531,0.00647557761549601
90,"Pattern",1.64848010784614,4,448,0.161021659497932,0.16624,-0.26054,"ns",0.00902108159375456,0.0145050783458065
91,"Pattern",2.48364159859086,4,448,0.0430694871768675,0.15297,-0.18922,"<.05",0.0151914993153785,0.0216942924238831
92,"Pattern",1.76834866779559,4,448,0.134114734382554,0.15394,-0.11866,"ns",0.0104891794121779,0.0155434150930606
93,"Pattern",1.03501761726158,4,448,0.388666722630874,0.15112,-0.059346,"ns",0.00602210993629484,0.0091566103945431
94,"Pattern",0.721047903463192,4,448,0.577872800166019,0.22108,-0.37388,"ns",0.00404751343868611,0.00639674592167306
95,"Pattern",0.639577009832269,4,448,0.634509458465767,0.25813,-0.2804,"ns",0.00387951245847718,0.00567808426496879
96,"Pattern",1.36177668785174,4,448,0.246282542623204,0.22492,-0.21452,"ns",0.00811369952039279,0.012012661830464
97,"Pattern",2.16948435422249,4,448,0.0715033504360331,0.20096,-0.14301,"ns",0.0126297494275369,0.019002313678596
98,"Pattern",1.49992990340202,4,448,0.20116065468019,0.19145,-0.085584,"ns",0.00829178326320753,0.0132152496012869
99,"Pattern",0.621942330903006,4,448,0.647069787775592,0.349,-0.28153,"ns",0.0038619545248348,0.00552239037998146
100,"Pattern",0.371693273155438,4,448,0.82883213280378,0.33631,-0.19112,"ns",0.00249113373781767,0.00330771266614198
101,"Pattern",1.41756229949192,4,448,0.227088967682276,0.27341,-0.16219,"ns",0.00896741240137066,0.0124986137133567
102,"Pattern",1.31810246120642,4,448,0.262280348066317,0.24052,-0.075603,"ns",0.00766628406243097,0.0116318790429593
103,"Pattern",0.464946797775164,4,448,0.761475040644202,0.19461,-0.022574,"ns",0.00309039355644375,0.00413414855929458
104,"Pattern",0.764414680588169,4,448,0.548819369990223,0.14086,0.0073253,"ns",0.00523943457251055,0.00677886443833738
105,"Pattern",0.860128393774202,4,448,0.487829273324398,0.089234,0.023191,"ns",0.00520577938534351,0.00762118921904088
106,"Pattern",0.66634311672859,4,448,0.615634637523664,0.028292,0.036037,"ns",0.00421417091740208,0.00591430500267699
