"Channel","t","df","p","CI.low","CI.high"
1,14.4827122326836,28,1.56434483583119e-14,0.468579160975064,0.597152937419966
2,12.7937734305957,28,3.2392699680753e-13,0.474135337104279,0.62503649218374
3,11.8009954005242,28,2.20798247079613e-12,0.521278342507009,0.707344264136892
4,12.3431470733112,28,7.6378719684367e-13,0.518773434396417,0.69404373663949
5,11.6151875110419,28,3.20129169223833e-12,0.498201032870359,0.677998290098117
6,11.2926218697082,28,6.15937185567132e-12,0.497005457758519,0.682546671607287
7,8.05843691503319,28,8.9487863481194e-09,0.465361400983272,0.729177564585042
8,13.6183842304299,28,7.1224087841611e-14,0.471024015591362,0.610068515506338
9,13.6485840832223,28,6.74684057508073e-14,0.522273542492796,0.6790557606725
10,13.8198821829357,28,4.97036870545318e-14,0.524736107465187,0.680093880141563
11,13.0288892992985,28,2.08833639437033e-13,0.553888031715383,0.731313770879144
12,12.6093753289741,28,4.5892357074736e-13,0.503087663454361,0.667854800143456
13,11.6025335472569,28,3.28378796659175e-12,0.45399279155341,0.615071664817162
14,12.1931894615478,28,1.02109276958356e-12,0.52277229017174,0.702248270176149
15,10.8558830319901,28,1.52373083395869e-11,0.525777168587296,0.733902084333361
16,10.2183915501669,28,5.96120655921937e-11,0.5461426410807,0.780719433445389
17,11.3270494859549,28,5.74049121280565e-12,0.511450837662509,0.702681709012458
18,11.6153964766421,28,3.19994740014675e-12,0.537481020720142,0.734094983622953
19,9.4720971395009,28,3.14287646395315e-10,0.534151600460675,0.785692770724416
20,9.88208354747164,28,1.24977492448495e-10,0.472968583176792,0.679347826695817
21,10.6476364139329,28,2.36603576221035e-11,0.511019086281542,0.717153147730171
22,10.4321959877288,28,3.75136421234369e-11,0.550368179874979,0.781027613146795
23,9.19749880154169,28,5.9006127234659e-10,0.499377150666783,0.740652446770577
24,8.69053593934006,28,1.93773649269305e-09,0.466190634871829,0.705412165134003
25,7.7175002909084,28,2.08704022848661e-08,0.449346166749141,0.717454578017771
26,6.23449093716461,28,9.76044069446308e-07,0.444720510914727,0.803285025631223
27,7.12048864024502,28,9.52243721165527e-08,0.436682651386995,0.726120328477791
28,9.52261232748573,28,2.80200283105624e-10,0.432630494078516,0.626825129484646
29,12.7310766362116,28,3.64512004768023e-13,0.439248440986136,0.577656078812783
30,11.2208485649085,28,7.13674580639933e-12,0.411654856180881,0.56052659000285
31,7.55910243594244,28,3.10868804821462e-08,0.410488766201423,0.657415865473404
32,7.95372676323523,28,1.15884284330094e-08,0.454428947155592,0.715338578417246
33,6.76906269427894,28,2.37322911093248e-07,0.438052080351069,0.750225202639463
34,8.18765052617982,28,6.51755622406611e-09,0.410701826546678,0.63249021110308
35,10.0760031636187,28,8.14115379822125e-11,0.369799876772188,0.518542436476529
36,11.8304106852712,28,2.08263528751272e-12,0.391351514707626,0.522443088431531
37,9.34165941665834,28,4.23390046323783e-10,0.394943415095557,0.57278637714035
38,6.32545651551256,28,7.65806770031579e-07,0.414357414474092,0.736212276827654
39,6.09554160070963,28,1.41578720120064e-06,0.44395756305779,0.814060277503572
40,7.90347492673305,28,1.31255644027485e-08,0.406122809093657,0.635471731743088
41,8.7993340583561,28,1.49702672986213e-09,0.377875745988255,0.559647898476661
42,11.1569152604275,28,8.14144759228501e-12,0.399075462493859,0.543334193033446
43,6.63688070661332,28,3.35763613935964e-07,0.409591109720381,0.705345776908059
44,6.48159621898291,28,5.05903561053541e-07,0.388455246825828,0.675037376516037
45,7.63439103943265,28,2.57131540789748e-08,0.440637691441271,0.706348187338117
46,7.8506220387603,28,1.49679829870423e-08,0.407766866558841,0.64036578104014
47,8.69354973094357,28,1.92389462801027e-09,0.411068500842154,0.616198044839955
48,6.20203366013147,28,1.06447813130749e-06,0.369308020276847,0.656293412579351
49,6.26940347971136,28,8.89196610714197e-07,0.387666789304504,0.68789036250241
50,6.18922296751194,28,1.10157677289879e-06,0.409182820661005,0.736507155927076
51,8.32042544467667,28,4.71624509615938e-09,0.430012285630935,0.659718923533828
52,12.6670220869688,28,4.11409090115493e-13,0.450849212110658,0.594567509000424
53,12.5616268834677,28,5.02543537952032e-13,0.443056811280066,0.58517932683063
54,8.49731771412557,28,3.07601169168602e-09,0.417351034353456,0.632713524895286
55,8.21942093606223,28,6.0308366181793e-09,0.444597154375641,0.687746138617401
56,7.50977415827166,28,3.52164330838948e-08,0.382822644978177,0.611226456623376
57,5.73882381044591,28,3.7040168603422e-06,0.38343941162026,0.722133909822415
58,10.1719364623078,28,6.59736414689477e-11,0.521748051396303,0.745363743671462
59,12.2373623266811,28,9.37152439273252e-13,0.51154583563619,0.685729745298125
60,14.0212681675221,28,3.48292043353425e-14,0.494617922901001,0.637056854675475
61,10.073651619284,28,8.18334213069148e-11,0.457404725807875,0.650912348130869
62,9.0518994678127,28,8.27366779449815e-10,0.496712934290505,0.741445751517456
63,8.28757477262159,28,5.10813290946149e-09,0.408115118556202,0.624652914992909
64,9.07965490747227,28,7.75568114362044e-10,0.466076632023116,0.691992887513679
65,10.0939338222259,28,7.8267182151253e-11,0.580324688458572,0.835935827146052
66,14.3529309402889,28,1.95536838319609e-14,0.604220227214819,0.779312076025726
67,10.8697336715889,28,1.48005928368446e-11,0.540293358955648,0.754833123154916
68,10.6031116217178,28,2.60126266878816e-11,0.453060555766638,0.632511374100248
69,11.0139025239108,28,1.09503149536291e-11,0.522509848596528,0.725473488286193
70,11.7551164421197,28,2.41919155178611e-12,0.655960818374958,0.899750277841229
71,10.7966279199774,28,1.72604708937377e-11,0.616376711793037,0.868339337813133
72,10.8307193817201,28,1.60649270240727e-11,0.555895488273239,0.778666472317204
73,10.1311240469819,28,7.21366769800178e-11,0.497599504734481,0.710104352050076
74,9.1483582748181,28,6.61161504226712e-10,0.582983800807813,0.874171738139319
75,10.7589499100547,28,1.86886586335453e-11,0.623929446719457,0.880534217750011
76,11.7049104164629,28,2.67428041835297e-12,0.613317511587508,0.840282867766234
77,10.2556083929841,28,5.49719129755092e-11,0.552666816203294,0.789436576142438
78,8.14337443120333,28,7.26365924232322e-09,0.481721736332922,0.752858261761807
79,7.2889577386973,28,6.17759990493389e-08,0.413316165116171,0.67518241501482
80,7.22665392509122,28,7.24685604701335e-08,0.411446120562913,0.674983600348593
81,11.2723127454779,28,6.42109030605136e-12,0.561545373350091,0.776160630141372
82,11.2834005309386,28,6.27681782627606e-12,0.584229534705517,0.808650233094057
83,11.5995100749504,28,3.30382090327708e-12,0.609282970772044,0.837022422012247
84,10.5797477557315,28,2.73417733578185e-11,0.596737781344879,0.845674932679645
