"Channel","t","df","p","CI.low","CI.high"
1,4.51310575089379,27,0.000112659638978701,0.115093838253378,0.176368362255369
2,4.62118201068398,27,8.42955302062708e-05,0.130948562938764,0.214968162745687
3,4.93279954053424,27,3.64841580307504e-05,0.150703487223972,0.253774153664796
4,6.30341658912917,27,9.54913424544095e-07,0.137397518851578,0.19439747351509
5,4.83198487831731,27,4.78408008058124e-05,0.112210720358958,0.162201516473595
6,4.76126115868872,27,5.78574597352058e-05,0.106804306908518,0.149911533882953
7,3.7882264833811,27,0.000772894304629546,0.0986288448243232,0.146571087302802
8,5.07685474483461,27,2.47740386210843e-05,0.117247511186901,0.170024414798173
9,6.877520779512,27,2.17345325982939e-07,0.143215369907751,0.198381509372439
10,5.88818775993956,27,2.84200342680718e-06,0.135281216892761,0.19618681370729
11,5.6578788437175,27,5.23522542380562e-06,0.112695838325444,0.151789293757106
12,4.71230547919236,27,6.59929088686907e-05,0.104881606511675,0.145816376616623
13,4.6962877739013,27,6.88951988634824e-05,0.101469167251504,0.137356469526086
14,6.95501049549001,27,1.78481061768114e-07,0.133018819037257,0.178779226476198
15,4.85876397499182,27,4.45179304470752e-05,0.121233882842415,0.183939370075655
16,5.7061661829152,27,4.60443542072877e-06,0.121084144226553,0.16908073502559
17,6.44942831931612,27,6.53210982482493e-07,0.123385477405437,0.165417412384815
18,5.25264608595956,27,1.54567227902945e-05,0.130514114769952,0.197401147664493
19,5.93606792936396,27,2.5042740870137e-06,0.127100814490186,0.178613121196667
20,4.61430367155915,27,8.58669006492679e-05,0.115206306227596,0.174241070580152
21,7.03853393311502,27,1.44448165662169e-07,0.126403186625635,0.165953002239711
22,6.7327320662422,27,3.14638240156112e-07,0.15185331800032,0.216298577070413
23,6.82749605957355,27,2.46912309656023e-07,0.147934819772303,0.207734175902463
24,5.14347503314953,27,2.0716156914135e-05,0.126599319974871,0.190651983327595
25,6.17125519976006,27,1.3489719027346e-06,0.128090577729646,0.177647906110836
26,5.59466747829259,27,6.19477287142121e-06,0.145401694318768,0.223075784128965
27,5.55902902631798,27,6.81208214186607e-06,0.136926108976188,0.205472473368874
28,4.72918065546213,27,6.30671423050431e-05,0.122571442594272,0.190361986437454
29,5.10838752290745,27,2.27625003330846e-05,0.10982096936,0.152082704228772
30,3.9478276183439,27,0.000507987963361897,0.095169833169061,0.131589775516907
31,3.47244833740464,27,0.0017532768412886,0.0918204598045493,0.130752402911378
32,5.67780208129863,27,4.96502355780811e-06,0.119485606615294,0.166048519230859
33,5.29601352898741,27,1.37606779909546e-05,0.12869890681045,0.192395701139969
34,4.50162777881926,27,0.000116181209555076,0.127699919524496,0.21037800723034
35,4.19179126120701,27,0.000265988111090936,0.113074568939421,0.179677226011076
36,4.33784920355864,27,0.000180132982932729,0.104088053382847,0.15030353644666
37,3.2494746942483,27,0.00309065356715942,0.090179787809236,0.130738287025808
38,5.84675580240379,27,3.17124844620673e-06,0.116700120441424,0.158177908326594
39,4.60425310775951,27,8.82155981888104e-05,0.151147747716315,0.268199874114313
