"Channel","t","df","p","CI.low","CI.high"
1,12.0768628331896,28,1.28122166411061e-12,1.10369294531674,1.48075265352345
2,10.1043951527016,28,7.64905134786944e-11,1.180487638221,1.68892188191775
3,9.32918071632676,28,4.35684497120231e-10,1.19237770161533,1.76163748021909
4,10.6768632010575,28,2.223613247163e-11,1.22236213290724,1.7169456563318
5,8.96521896259131,28,1.01314263966841e-09,1.07428342654326,1.60355057086106
6,9.56054834899958,28,2.57111003728617e-10,1.06250449649701,1.54340402323286
7,9.47048818003504,28,3.15440710031423e-10,1.01535452246148,1.47606364792109
8,10.044283939381,28,8.72952271262602e-11,1.15128930517148,1.64858561479715
9,10.4871999162125,28,3.33307913811227e-11,1.29846238623223,1.84110644998895
10,7.98975046928292,28,1.06006834615144e-08,1.23432460307035,1.96084383958121
11,10.15916730574,28,6.78415260588501e-11,1.26372052842173,1.81076294803585
12,9.37675523966101,28,3.90683652771168e-10,1.09964360550368,1.61336608883827
13,9.10455781340142,28,7.31922445192878e-10,0.99971607115071,1.47523775282575
14,9.89824847815417,28,1.20568753259533e-10,1.29412963398312,1.87522549663211
15,9.61413740884892,28,2.2777247138124e-10,1.35662622871792,1.99338528500802
16,10.6689821848307,28,2.26112757497867e-11,1.33996007086037,1.89088261230591
17,9.6983535342645,28,1.88424243239272e-10,1.28208501633555,1.87191473930356
18,8.8804634395419,28,1.23624926877809e-09,1.24568468851795,1.88429774852723
19,9.13917052802851,28,6.75400068772002e-10,1.19379500264631,1.77912802620594
20,8.81861155897319,28,1.43035557224602e-09,1.09484466617306,1.64801508609092
21,9.72284398558954,28,1.78344562658893e-10,1.27508320599089,1.85929293186604
22,10.6826088624056,28,2.19666689709135e-11,1.34356934825645,1.89533496652417
23,9.26253812550282,28,5.07823481974022e-10,1.20253367462325,1.7828196020397
24,8.36950934121342,28,4.18711511910359e-09,1.0964301575606,1.68992986153444
25,8.59503989306743,28,2.43342440843832e-09,1.10868308823559,1.68940456903187
26,9.18976615059348,28,6.00707537219498e-10,1.19493075757365,1.77676832435886
27,8.16046299215267,28,6.96586686276063e-09,1.06281364927048,1.65407979298616
28,11.0000943350356,28,1.12696899567842e-11,1.04428510023576,1.43951156337084
29,10.9651965376783,28,1.21202400819222e-11,1.03150433968458,1.42240549382692
30,9.5674349317167,28,2.53133477439528e-10,0.892081956505601,1.27968468077554
31,8.27022326872193,28,5.32840497321145e-09,0.887978985268896,1.35369293196158
32,11.0575263554736,28,1.00010981970946e-11,1.15208549551057,1.59381367927934
33,9.15378642058369,28,6.52894201262965e-10,1.03834169106377,1.53283951968441
34,11.2536821249195,28,6.67123444400582e-12,0.974624640608496,1.32796092968583
35,10.4859452149739,28,3.34206582297172e-11,0.891622103561801,1.23680712054972
36,10.3805717179803,28,4.19302892145952e-11,0.867798403536709,1.20563503924374
37,10.2463993225638,28,5.60844055515205e-11,0.894585740795157,1.25133811747298
38,7.87653417746675,28,1.40338330059476e-08,1.01530157434251,1.60197436384764
39,7.84040117575468,28,1.53536915907616e-08,0.997074733941467,1.57451517084428
40,10.0102563517284,28,9.40941380448807e-11,0.886180188162008,1.24918847055709
41,9.5388915639138,28,2.70042250565036e-10,0.865359611006985,1.23982393272996
42,7.61292057769568,28,2.71411744164321e-08,0.862967054461265,1.36527823420272
43,8.69275225872862,28,1.92754741653883e-09,1.04701475409213,1.58117222046741
44,7.8601039507159,28,1.46190045477856e-08,0.94331488518045,1.48090098988306
45,10.4435689897374,28,3.660661550425e-11,1.04531490925093,1.46724395230173
46,9.21882364597712,28,5.61691810051804e-10,0.918067351031926,1.33936128687698
