"Channel","t","df","p","CI.low","CI.high"
1,9.53638558961685,28,2.71581012358699e-10,0.576544363448362,0.84911979363282
2,7.79125616181449,28,1.73549442268557e-08,0.589595856298836,0.954311780687165
3,7.28157623324871,28,6.29539755872942e-08,0.662300653927845,1.11945510480888
4,7.88358042376838,28,1.37902554676247e-08,0.675834806225535,1.09532765288745
5,8.76796139415842,28,1.61240675667838e-09,0.678695159354015,1.04472119233208
6,10.2747129272073,28,5.2735688751704e-11,0.662839417178972,0.953926791976062
7,9.28529006851618,28,4.81911338157128e-10,0.624723215754585,0.934030244704451
8,7.84845129748014,28,1.5049065496003e-08,0.60855379546353,0.983063986525996
9,8.36358575564551,28,4.2476104608627e-09,0.701286293125064,1.10540526139809
10,9.84461709412595,28,1.3584330388012e-10,0.735957791869,1.081526494309
11,9.14943751843542,28,6.59509269292836e-10,0.743590672558949,1.1273936570917
12,9.54431856737242,28,2.66740436431773e-10,0.662540900414702,0.981828396187861
13,12.138628735746,28,1.13556214596326e-12,0.670379899449734,0.910757743309953
14,7.83837119235718,28,1.54314973970675e-08,0.6895462692539,1.12201644463625
15,8.21421203165903,28,6.10801497950583e-09,0.712094968913439,1.13318591318154
16,8.2207512900444,28,6.01128551474861e-09,0.723278234614693,1.15134580545116
17,8.15785204908375,28,7.01054607166139e-09,0.68822070975553,1.0971868654756
18,7.03033732512954,28,1.20200519903747e-07,0.687141101933534,1.18777703073779
19,9.12067480834699,28,7.05024033098149e-10,0.708882757975477,1.07414110132273
20,9.97886309158295,28,1.00848653648652e-10,0.664507685583749,0.96731604318487
21,8.42723637052328,28,3.6417384864761e-09,0.70702130131172,1.11079112128827
22,9.28667940200974,28,4.80373623601706e-10,0.724828524751667,1.09073512807776
23,7.91371455968204,28,1.27962914328629e-08,0.65424212160611,1.05649763252025
24,8.75863385954616,28,1.64843721102899e-09,0.636867532598377,0.977865216265181
25,8.37439278565143,28,4.13790516498922e-09,0.644416082657162,1.0110145711608
26,7.79456622389519,28,1.72121508196281e-08,0.617605078056247,1.00208052281187
27,7.49717189713546,28,3.63584312419403e-08,0.585562581970362,0.966930654622758
28,10.3639960615142,28,4.3458965202853e-11,0.578575474937146,0.825023447891418
29,13.5898946172474,28,7.49646987080112e-14,0.611653220627917,0.800959271416235
30,13.7188485566707,28,5.94994751222299e-14,0.583607439967496,0.760976485902483
31,8.98972728801619,28,9.5665046165811e-10,0.540793905576133,0.813735640038927
32,9.53550845681869,28,2.72121726398462e-10,0.607141198418933,0.89649062832714
33,8.10178151900035,28,8.04404701587272e-09,0.550449680329212,0.869963022074918
34,9.46836891994077,28,3.16966103470348e-10,0.51210860112475,0.751605467591043
35,9.46650168736267,28,3.18316359952049e-10,0.478992881489946,0.700261110395853
36,9.64538089045152,28,2.12274582001825e-10,0.503571442170854,0.732884126149793
37,9.5448524082705,28,2.66417889448626e-10,0.519923702100251,0.761248029586504
38,8.58654205693094,28,2.48339606649261e-09,0.547785754892703,0.841940019569574
39,10.0151883203503,28,9.3075970796699e-11,0.562055780445365,0.810798888661459
40,8.08810306714394,28,8.31899681653446e-09,0.460024089832162,0.718924048484953
41,7.14031651647075,28,9.04803824174315e-08,0.454583369647125,0.757296417300169
42,7.92828961043407,28,1.23420885994602e-08,0.473561817589009,0.748931026144744
43,10.5507891745637,28,2.90865721884332e-11,0.568635789834202,0.804880054269773
44,9.69416035735243,28,1.90207788251457e-10,0.508528324362721,0.739034046493747
45,9.46314715643445,28,3.20756963004827e-10,0.550896463852972,0.811993179502906
46,8.17262072641361,28,6.76162031295322e-09,0.496823371527438,0.776767371607593
47,7.16501058853531,28,8.49066890518226e-08,0.479322099146659,0.800382232622381
48,9.26293336462692,28,5.07361369816956e-10,0.507871240838762,0.751781632549901
49,7.57306107514815,28,3.00104686152833e-08,0.520866308066578,0.849020128364971
50,7.78813845323205,28,1.74905451665932e-08,0.588293246291541,0.952277520871132
51,7.25996067925742,28,6.65367795339463e-08,0.527953243006367,0.881392987432646
52,9.33321058701327,28,4.31674625204247e-10,0.540823185404785,0.800912002960332
53,8.84318223321415,28,1.3497604855528e-09,0.504564397012237,0.761548678096721
54,9.7811485570022,28,1.56513501202821e-10,0.538030931232992,0.78157412843772
55,8.30533508305318,28,4.89229810097663e-09,0.576783192688536,0.903144212799449
56,9.88542853776761,28,1.24051817343365e-10,0.570246228283071,0.827389415050108
57,6.70280051363066,28,2.82345889421799e-07,0.560605161178045,0.985094205669302
58,8.20718090154716,28,6.21379621365045e-09,0.691582011079922,1.09950847868502
59,8.09967088262724,28,8.0858593770505e-09,0.644723023358805,1.02817255617739
60,8.87558663649483,28,1.25052405938844e-09,0.589929402688873,0.896919275769118
61,8.30681047879568,28,4.87479287556673e-09,0.542817774609125,0.846867749222231
62,8.37590365624516,28,4.1228003624911e-09,0.551987179095314,0.858653918235081
63,8.65457906272947,28,2.1109629768245e-09,0.612533515671712,0.94381157590124
64,8.68204039552599,28,1.97730631525701e-09,0.667181685034186,1.03083808991147
65,8.39042034083819,28,3.98051258469431e-09,0.804475249618237,1.273542305046
66,8.27526489333323,28,5.26342043272005e-09,0.74113518143007,1.17720375229337
67,8.59408410782085,28,2.4389931915645e-09,0.633200203986653,0.980474812127487
68,8.47543034997806,28,3.24232771523405e-09,0.671352579330179,1.04935815375539
69,9.34407135404719,28,4.21055030167561e-10,0.802635667366838,1.20935573336612
70,9.40915080851434,28,3.62792627504497e-10,0.903952006477162,1.36346634474125
71,8.31722209580636,28,4.75306782765051e-09,0.71151089723203,1.12530071062871
72,8.40534501655425,28,3.83945464668866e-09,0.632187497834724,0.98912012468547
73,8.41229636551022,28,3.77551014527747e-09,0.709377775400583,1.11561249683744
74,9.09053279849298,28,7.56184238522556e-10,0.86597948503203,1.32419353064973
75,8.47227352520599,28,3.2670634238167e-09,0.809910611254379,1.27646719027762
76,8.05922156282517,28,8.93151721810308e-09,0.706887405267093,1.13528695343936
77,7.72671592877336,28,2.03941292113795e-08,0.612670363135408,0.998179594893614
78,9.12748451849023,28,6.93965331197838e-10,0.553773372426966,0.828915219551161
79,9.05688095041461,28,8.17815675222482e-10,0.53883773228898,0.80802071463628
80,8.71863289526753,28,1.81254588159289e-09,0.538955017485902,0.821860341371645
81,8.81061506106507,28,1.45763458038505e-09,0.78230378561799,1.20879127621059
82,9.39359973178389,28,3.75917247182408e-10,0.858288571820851,1.29330679696056
83,9.12594296729858,28,6.96453089665546e-10,0.833513635288287,1.27064237701734
84,9.15038249042436,28,6.5806606699793e-10,0.789731196243948,1.20009953254912
85,9.65839511481015,28,2.06142112424025e-10,0.649952277456706,0.95767648747765
86,10.5180152079141,28,3.11998678455875e-11,0.539113575120181,0.761991888215843
87,8.70835729569619,28,1.85734125257735e-09,0.512929441855853,0.780261837152296
88,9.08991532184062,28,7.57271150424944e-10,0.756410500965409,1.15091648418833
89,10.0550572221103,28,8.52494225756463e-11,0.826255664309251,1.20894502128527
90,10.8974468453455,28,1.39649856153662e-11,0.918142183122163,1.30694163354497
91,9.86282324587876,28,1.30447137817602e-10,0.760148358479813,1.11759418409133
92,11.48924242258,28,4.12728951273325e-12,0.59883021237118,0.824693694509874
93,10.711053844851,28,2.06812192428437e-11,0.525994383730072,0.737701628703471
94,11.3279067589501,28,5.73044285898371e-12,0.730524730213635,1.01845705661235
95,11.5084515926257,28,3.96994065383502e-12,0.753151040126962,1.04538684478839
96,10.1273847013662,28,7.27301337010112e-11,0.811752096133691,1.18366070998343
97,11.4770908911805,28,4.23012609709347e-12,0.661225143533997,0.91449065115939
98,11.7778714338475,28,2.31195510931435e-12,0.569030928039684,0.775646393884802
99,12.1529208876596,28,1.10435620234116e-12,0.631457126802202,0.855713968534324
100,10.5066488383003,28,3.19690895466104e-11,0.587104483433089,0.83352707004208
101,10.575761738644,28,2.75754085642898e-11,0.69313304269943,0.988497928078822
102,13.0284497774978,28,2.09003959600359e-13,0.565554223569224,0.747339891513828
103,8.57920862520733,28,2.52736392128363e-09,0.502604636947837,0.76874679781271
104,7.61064957498551,28,2.72968762634369e-08,0.498407271556172,0.807801515542358
105,9.06080337255091,28,8.1037464943761e-10,0.532421646871366,0.797705625401344
106,9.65244529122269,28,2.08922877973701e-10,0.587361097748588,0.861603948353818
107,11.1054075213259,28,9.05608272319688e-12,0.551678285158833,0.765785291966092
108,11.1976221252224,28,7.48611511336044e-12,0.550260419423916,0.76157456089076
109,8.34992925758577,28,4.39050745264843e-09,0.494543096627847,0.765127719535296
110,7.69037248223531,28,2.23393288905612e-08,0.468790251412981,0.752306768230153
111,9.34172966570912,28,4.23321850343163e-10,0.536392743541437,0.79368908694734
112,8.70371048250902,28,1.87796902925447e-09,0.589335181828536,0.903887418878204
113,13.9810517781887,28,3.73810090695894e-14,0.552382334335434,0.715133481278458
114,10.3343738453942,28,4.63349571206797e-11,0.529229101896488,0.752159892394003
115,10.3243745484452,28,4.73493158229639e-11,0.521344742291632,0.740641926662481
116,9.66266857796843,28,2.04168273613726e-10,0.511033641900494,0.743840684542861
117,10.4927125207778,28,3.29388872454848e-11,0.574018293167481,0.814498713365588
118,9.04587251074276,28,8.39075305745866e-10,0.625017453633428,0.945079658557743
